T;allocated heap
27480;5535304
27540;6658824
27600;5177416
27660;6541288
27720;8662552
27780;7198544
27840;7374648
27900;6060280
27960;5661864
28020;7138328
28080;7255856
28140;6254240
28200;5866480
28260;5037856
28320;7901288
28380;5667744
28440;4612704
28500;6871512
28560;6038376
28620;6987296
28680;5108184
28740;7115704
28800;5026912
28860;4637528
28920;5491064
28980;5452760
29040;5842152
29100;7633648
29160;6182376
29220;5950296
29280;5380976
29340;5482440
29400;7405688
29460;5291432
29520;4943608
29580;5625896
29640;6783064
29700;4666464
29760;6742280
29820;6045632
29880;4758984
29940;6690768
30000;4812976
30060;6665424
30120;7377696
30180;5076896
30240;4732104
30300;6289536
30360;5044880
30420;5962992
30480;6420560
30540;5577136
30600;5159152
30660;4818008
30720;8411024
30780;6422824
30840;5486672
30900;6656256
30960;6579992
31020;7144368
31080;5828464
31140;6286696
31200;5867232
31260;5338800
31320;5105392
31380;4776152
31440;7269248
31500;5520080
31560;7280888
31620;5493432
31680;6585112
31740;5609184
31800;5263560
31860;5512880
31920;8883448
31980;6071376
32040;5320320
32100;4975992
32160;6899760
32220;6274960
32280;5658040
32340;7345568
32400;4886504
32460;8288984
32520;5702024
32580;4815352
32640;5762944
32700;6912504
32760;4935864
32820;6252104
32880;4933992
32940;6267640
33000;5066656
33060;6441032
33120;6962176
33180;5871848
33240;6631120
33300;6450936
33360;4946744
33420;6120016
33480;7264784
33540;5832912
33600;6102208
33660;5126384
33720;7255808
33780;6234680
33840;5770416
33900;5794592
33960;5380904
34020;7673216
34080;6491432
34140;5859672
34200;6252032
34260;7964696
34320;5441824
34380;5441584
34440;7689512
34500;7078488
34560;5602072
34620;6039984
34680;6318120
34740;6030288
34800;5828928
34860;6426824
34920;6226152
34980;7093384
35040;5629912
35100;5722712
35160;6278104
35220;5123960
35280;5593408
35340;5981256
35400;6840408
35460;5585832
35520;6165528
35580;6236568
35640;7684472
35700;5739744
35760;5218160
35820;5669320
35880;6024592
35940;5502688
36000;5010120
36060;5494984
36120;4917072
36180;5782952
36240;5918256
36300;5613896
36360;6491544
36420;5546592
36480;5937432
36540;5523480
36600;6255016
36660;7547360
36720;6519616
36780;6199944
36840;5416256
36900;6760864
36960;5787224
37020;5982000
37080;5890560
37140;5729472
37200;7342208
37260;7258288
37320;5209032
37380;6992480
37440;6375568
37500;6425592
37560;5328192
37620;5466528
37680;5605472
37740;5254736
37800;5118592
37860;5877544
37920;6151536
37980;7096736
38040;5855968
38100;5878928
38160;6246192
38220;4968232
38280;8023832
38340;5447888
38400;4905096
38460;5917104
38520;5896520
38580;6723088
38640;6879744
38700;6111840
38760;5918152
38820;6302712
38880;6114536
38940;6624048
39000;5774360
39060;5739944
39120;8254208
39180;5800336
39240;5698168
39300;5981352
39360;6116832
39420;5796536
39480;5775992
39540;7153360
39600;5635104
39660;6557800
39720;5495560
39780;6602112
39840;5500576
39900;5662224
39960;6334992
40020;5996520
40080;5736896
40140;6167320
40200;6161792
40260;6033440
40320;5367304
40380;6153592
40440;5573512
40500;6194728
40560;5120360
40620;6110464
40680;4472752
40740;6447768
40800;7654712
40860;6606808
40920;4822352
40980;6234568
41040;7026104
41100;6304984
41160;5734568
41220;6125880
41280;7322152
41340;5461832
41400;6701128
41460;5044624
41520;6943128
41580;6757176
41640;6780400
41700;6779424
41760;7486320
41820;5531992
41880;7499408
41940;5984688
42000;6189928
42060;6215808
42120;6763656
42180;6485408
42240;5209856
42300;5289024
42360;8030992
42420;6866128
42480;6111664
42540;4912992
42600;5193120
42660;6350280
42720;7234688
42780;6135096
42840;5471400
42900;6464376
42960;6737808
43020;6522688
43080;6410504
43140;6216800
43200;6791344
43260;7514712
43320;5438640
43380;4918440
43440;6461336
43500;5418008
43560;5953504
43620;6317728
43680;6226072
43740;5407904
43800;5578400
43860;5587344
43920;5499920
43980;5082992
44040;7492144
44100;7403256
44160;5527680
44220;6818800
44280;6299232
44340;6885632
44400;6239656
44460;7575792
44520;5920544
44580;5929976
44640;4920752
44700;6062360
44760;5981400
44820;6146408
44880;6281976
44940;6251688
45000;6110456
45060;6091096
45120;5859088
45180;6311360
45240;6084992
45300;6258880
45360;5578680
45420;5170344
45480;7986304
45540;8588808
45600;5646368
45660;7431944
45720;6362368
45780;6294304
45840;6701048
45900;5524344
45960;5666200
46020;6884656
46080;6480264
46140;6266568
46200;6126280
46260;6434168
46320;6563400
46380;6162968
46440;6677752
46500;6654864
