timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1703690715516,14990,HTTP Request3 S 2,200,OK,Thread Group 8-3,bin,true,,169789,122,11,88,http://192.168.52.128/10.mp4,2771,0,2492
1703690730507,1,HTTP Request3 S 2,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 192.168.52.128:80 failed to respond,Thread Group 8-3,text,false,,2094,0,11,88,http://192.168.52.128/10.mp4,0,0,0
1703690715656,14852,HTTP Request5 S 1,200,OK,Thread Group 5-1,bin,true,,148144,121,11,88,http://192.168.52.128/9.jpg,2614,0,0
1703690730509,1,HTTP Request5 M 4,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 192.168.52.128:80 failed to respond,Thread Group 5-1,text,false,,2094,0,11,88,http://192.168.52.128/23.csv,0,0,0
1703690717441,13494,HTTP Request1 S 4,200,OK,Thread Group 1-5,text,true,,50099,121,11,88,http://192.168.52.128/4.csv,10185,0,3861
1703690720433,10559,HTTP Request1 S 3,200,OK,Thread Group 1-8,bin,true,,42123,121,11,88,http://192.168.52.128/3.jpg,8789,0,7276
1703690730936,1798,HTTP Request1 L 2,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 192.168.52.128:80 failed to respond,Thread Group 1-5,text,false,,2094,0,11,88,http://192.168.52.128/35.pdf,0,0,0
1703690719431,13574,HTTP Request1 S 4,200,OK,Thread Group 1-7,text,true,,50099,121,11,88,http://192.168.52.128/4.csv,8372,0,1971
1703690733006,0,HTTP Request1 S 4,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 192.168.52.128:80 failed to respond,Thread Group 1-7,text,false,,2094,0,11,88,http://192.168.52.128/4.csv,0,0,0
1703690730994,3507,HTTP Request1 L 2,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 192.168.52.128:80 failed to respond,Thread Group 1-8,text,false,,2094,0,11,88,http://192.168.52.128/35.pdf,0,0,0
1703690718510,16037,HTTP Request3 S 4,200,OK,Thread Group 8-6,text,true,,19767,121,11,88,http://192.168.52.128/1.txt,12159,0,9296
1703690717467,17457,HTTP Request4 S 1,200,OK,Thread Group 4-5,bin,true,,148145,121,11,88,http://192.168.52.128/9.jpg,10189,0,3873
1703690734925,1074,HTTP Request4 M 3,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 192.168.52.128:80 failed to respond,Thread Group 4-5,text,false,,2094,0,11,88,http://192.168.52.128/33.bmp,0,0,0
1703690734548,1451,HTTP Request3 S 2,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 192.168.52.128:80 failed to respond,Thread Group 8-6,text,false,,2094,0,11,88,http://192.168.52.128/10.mp4,0,0,0
1703690715112,21901,HTTP Request3 M 3,200,OK,Thread Group 7-2,bin,true,,990223,122,11,88,http://192.168.52.128/33.bmp,126,0,0
