r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st,Principale1,Principale2,Principale3,Principale4,Principale5,Principale6,Principale7
5,0,0,1852492,40008,1078372,0,0,0,0,6267,550,1,51,48,0,0,"0,8061825868","-0,281155711","-0,716068061","0,3101773766","-0,362358867","-0,77199569","-0,303925889"
6,0,0,1852268,40016,1078372,0,0,0,12,10234,526,1,52,47,1,0,"0,6065316931","0,3641279716","-1,039139177","0,9977680321","0,6553561904","-0,243408061","-0,376626725"
6,0,0,1852016,40016,1078372,0,0,0,0,12151,550,2,51,48,0,0,"-0,209934272","-0,467918307","-0,806401502","1,152372831","0,0151880744","-0,320275396","0,0492244395"
9,0,0,1852016,40016,1078372,0,0,0,0,11942,541,1,51,48,0,0,"-0,406866287","-0,608989037","-1,533794214","2,4571092099","0,7339813903","-0,143849996","0,2840758562"
8,0,0,1852016,40016,1078372,0,0,0,4,11916,551,1,51,48,0,0,"-0,324484151","-0,573527258","-1,320400906","1,9823963917","0,552776802","-0,185778288","0,1647091124"
8,0,0,1852016,40016,1078372,0,0,0,0,12202,532,1,51,49,0,0,"-0,380479416","-0,676306307","-1,349336588","1,9720608909","0,5541089228","-0,153836815","0,2059397953"
8,0,0,1852016,40024,1078372,0,0,0,12,12086,548,1,51,48,0,0,"-0,351875226","-0,587995539","-1,302003449","1,9939364271","0,5578251783","-0,136230046","0,1686821961"
8,0,0,1852016,40024,1078372,0,0,0,0,11929,527,1,51,49,0,0,"-0,34365861","-0,670342441","-1,340568464","1,9566577884","0,5341741139","-0,156939373","0,2173531144"
8,0,0,1852016,40024,1078372,0,0,0,0,11968,538,2,50,48,0,0,"-0,305774157","-0,583752647","-1,158647669","2,1010844439","0,4109437539","-0,271989096","0,2787361701"
8,0,0,1852016,40024,1078372,0,0,0,0,12068,543,1,51,48,0,0,"-0,363367837","-0,587424088","-1,324448267","1,9804137853","0,5485795531","-0,158439176","0,2023205977"
7,0,0,1852016,40024,1078372,0,0,0,4,12276,532,1,51,48,0,0,"-0,336176187","-0,596575202","-1,143459246","1,5136445301","0,3240355799","-0,146944787","0,1153772327"
7,0,0,1852016,40032,1078372,0,0,0,12,11871,574,1,50,49,0,0,"-0,202578374","-0,639953211","-1,012028471","1,4922905987","0,4734387472","-0,264652343","0,0603331646"
8,0,0,1852016,40032,1078388,0,0,0,0,11716,540,1,51,48,0,0,"-0,312088606","-0,574826879","-1,312136389","1,9618662387","0,5298484714","-0,17133071","0,2088289738"
8,0,0,1852016,40032,1078388,0,0,0,0,11967,542,1,51,49,0,0,"-0,342100149","-0,643941502","-1,305131295","1,9560283994","0,5832038816","-0,166727899","0,2144150751"
5,0,0,1862504,40032,1085320,0,0,6912,0,6937,602,1,55,43,1,0,"1,4304214864","1,2990839248","-1,091625198","0,2830380076","0,3017348152","-0,25534666","-0,463125157"
6,0,0,1862504,40032,1085320,0,0,0,0,11924,533,1,51,48,0,0,"-0,205410868","-0,55608021","-0,938394268","1,0249470032","0,1205944098","-0,203671677","0,0423605917"
5,0,0,1844960,40040,1094044,0,0,8704,28,8251,737,2,56,42,1,0,"1,2356357265","1,7558265363","-0,814005361","0,4327840607","0,5336625944","-0,267267705","-0,634493477"
6,0,0,1844960,40040,1094044,0,0,0,0,11006,403,1,52,48,0,0,"-0,352067702","-0,614549768","-1,126813192","0,9304150178","-0,275793916","-0,040041383","0,0788941358"
7,0,0,1844960,40040,1094044,0,0,0,0,12544,536,2,51,48,0,0,"-0,52019081","-0,469575238","-0,966605854","1,61046688","0,2406272019","-0,208564461","0,1380676551"
7,0,0,1844960,40040,1094044,0,0,0,4,12697,548,1,51,48,0,0,"-0,556417433","-0,532007685","-1,080587502","1,500474462","0,4181050106","-0,126120589","0,0580727635"
7,0,0,1844960,40040,1094044,0,0,0,0,12438,529,1,51,48,0,0,"-0,532504094","-0,550180626","-1,111302837","1,4838437315","0,3561247255","-0,126365242","0,0821890827"
7,0,0,1844960,40048,1094044,0,0,0,176,12997,557,1,51,48,0,0,"-0,452606249","-0,643189225","-0,836514411","1,6869939193","0,3946995417","0,3086882011","-0,333804138"
6,0,0,1844960,40048,1094044,0,0,0,4,12950,538,1,51,48,0,0,"-0,543353292","-0,535658002","-0,889705426","1,0280370925","0,2075897695","-0,110738404","-0,005363417"
4,0,0,1828732,40048,1105692,0,0,11616,0,7008,868,1,58,40,1,0,"1,4261650716","2,3871403529","-0,754360851","-0,316186692","0,6665066617","-0,403223634","-0,957920455"
4,0,0,1837916,40048,1105692,0,0,0,0,7131,634,2,51,47,0,0,"0,5069446342","0,0837124798","-0,180631604","-0,052154923","-0,411547551","-0,900227959","-0,4903618"
6,0,0,1837916,40048,1105692,0,0,0,4,11762,544,2,50,48,0,0,"-0,424838945","-0,428807234","-0,687017399","1,0823473969","0,0537256163","-0,341635187","-0,041002668"
6,0,0,1837916,40056,1105692,0,0,0,28,12313,542,1,51,48,0,0,"-0,545229421","-0,476085304","-0,822041091","1,0010657598","0,1938843966","-0,110352565","-0,137536178"
6,0,0,1837916,40056,1105692,0,0,0,0,12428,529,1,51,49,0,0,"-0,589271565","-0,545521693","-0,871518235","0,9594450877","0,2119895048","-0,159948689","-0,052387625"
4,0,0,1837916,40056,1105692,0,0,0,4,12945,533,1,51,48,0,0,"-0,54386772","-0,45998506","-0,483670815","0,0448451465","-0,196617523","-0,167428527","-0,245062864"
6,0,0,1837916,40056,1105692,0,0,0,4,12231,542,1,51,49,0,0,"-0,543051713","-0,518461193","-0,845944598","0,9564536445","0,2344843347","-0,18772817","-0,08348175"
2,0,0,1830764,40056,1105692,0,0,0,0,7917,644,2,51,47,0,0,"0,4719312933","0,12424452","0,2329917142","-0,991395195","-0,746790547","-0,911697407","-0,68359946"
3,0,0,1830764,40064,1105692,0,0,0,16,12311,410,1,51,48,0,0,"-0,507827707","-0,610536503","-0,430648122","-0,474647357","-0,757026196","-0,018816988","-0,254128343"
2,0,0,1836232,40064,1105692,0,0,0,0,10286,650,1,52,47,0,0,"0,0712660667","0,0217793414","0,0613901014","-1,011127059","-0,481057969","-0,596410602","-0,657541623"
4,0,0,1819656,40064,1105692,0,0,0,0,7688,487,2,51,47,0,0,"0,1800678315","-0,145960686","-0,360183422","-0,080197277","-0,757501917","-0,606718958","-0,333567602"
3,0,0,1819656,40064,1105692,0,0,0,4,11177,537,1,51,49,0,0,"-0,288027905","-0,386862582","-0,239454932","-0,558821899","-0,441242616","-0,368738609","-0,452261528"
2,0,0,1817624,40064,1105696,0,0,0,8,7367,651,2,52,47,0,0,"0,4705746231","0,2446769239","0,2425671136","-1,035394437","-0,773883422","-0,914106892","-0,772887875"
3,0,0,1817624,40072,1105696,0,0,0,24,9369,543,2,50,48,0,0,"0,0504367934","-0,239193062","-0,009632531","-0,478644028","-0,674305458","-0,57069049","-0,482552812"
4,0,0,1817624,40072,1105696,0,0,0,0,11035,531,2,51,48,0,0,"-0,341424139","-0,266769713","-0,301311022","0,0402802223","-0,425452025","-0,404032997","-0,275394761"
4,0,0,1817624,40072,1105700,0,0,0,0,12269,612,2,51,48,0,0,"-0,479599715","-0,183086206","-0,193142391","0,099094597","-0,147530709","-0,433204887","-0,334101388"
4,0,0,1817624,40072,1105716,0,0,0,0,12014,548,1,51,48,0,0,"-0,513001954","-0,352300652","-0,41960889","-0,038812431","-0,190299411","-0,270926738","-0,326386925"
2,0,0,1834000,40072,1105716,0,0,0,4,9680,627,1,51,48,0,0,"0,1689407689","-0,114728044","0,0960620863","-1,05459302","-0,512278079","-0,636663741","-0,639521857"
4,0,0,1817400,40080,1105716,0,0,0,28,9258,628,1,52,47,0,0,"-0,008033323","0,0067308595","-0,274746689","-0,109501849","-0,181160914","-0,503639164","-0,573276135"
4,0,0,1817400,40080,1105716,0,0,0,0,12213,536,1,51,49,0,0,"-0,551028386","-0,439174418","-0,418539006","-0,051978999","-0,169212557","-0,23670554","-0,292531993"
2,0,0,1813700,40080,1105716,0,0,0,0,8594,653,1,52,47,0,0,"0,2075766652","0,1421920823","0,1204295424","-1,127440055","-0,547685581","-0,73553223","-0,765433507"
2,0,0,1813700,40080,1105716,0,0,0,0,11564,536,1,50,49,0,0,"-0,312400147","-0,430416725","0,0128046278","-1,038999819","-0,592177794","-0,393313641","-0,507534998"
2,0,0,1825004,40080,1105716,0,0,0,4,9696,638,2,51,48,0,0,"0,1409655738","-0,00503507","0,2665919581","-0,950348322","-0,615137137","-0,728175423","-0,609052791"
2,0,0,1818284,40088,1105716,0,0,0,28,9574,443,1,50,48,0,0,"-0,021250497","-0,464744268","-0,066080641","-1,080910021","-0,979689138","-0,312239733","-0,493885211"
2,0,0,1818284,40088,1105716,0,0,0,0,11686,543,1,51,49,0,0,"-0,324282615","-0,363352105","-0,003774453","-1,032673575","-0,579828232","-0,345969378","-0,494620997"
