r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st,Principale1,Principale2,Principale3,Principale4,Principale5,Principale6,Principale7
3,0,0,1792416,38532,1126292,0,0,0,0,10313,2405,5,56,39,0,0,"0,6843806271","1,2542521493","-0,53644196","0,2837188654","-1,122125542","3,1532913291","0,1025534652"
3,0,0,1792164,38532,1126292,0,0,0,0,10099,1882,3,53,45,0,0,"0,6880629425","0,6716697696","-0,629369842","0,1141293378","-0,797646759","2,2370971741","-0,004207747"
3,0,0,1783256,38532,1134980,0,0,8736,4,7987,1397,3,56,40,1,0,"0,193425165","1,1973789934","-0,441282211","-0,024224751","-0,811134466","0,9103882709","-0,203616581"
3,0,0,1789128,38532,1140768,0,0,5708,0,9357,920,2,54,44,1,0,"0,3706744858","0,4810857804","-0,299227547","-0,107000354","-0,334896189","0,3093557408","-0,434881604"
3,0,0,1789128,38540,1140760,0,0,0,32,10381,512,1,51,49,0,0,"0,5591375053","-0,491116656","-0,225451102","-0,211453914","0,1648816273","0,0180517044","-0,615803239"
3,0,0,1789128,38540,1140768,0,0,0,0,10477,489,0,51,49,0,0,"0,5993155676","-0,508884592","-0,216698925","-0,215248475","0,1872120765","-0,024596139","-0,642632619"
4,0,0,1789128,38540,1140768,0,0,0,0,10350,739,1,51,48,0,0,"0,7141032334","-0,286988893","-0,083437482","-0,015351166","-0,007038138","0,3226521118","-0,19059944"
4,0,0,1789128,38540,1140768,0,0,0,0,9174,490,0,51,49,0,0,"0,5848966083","-0,41067529","-0,133551202","-0,130809324","0,1102127046","-0,116540059","-0,300184512"
4,0,0,1789128,38540,1140768,0,0,0,4,10103,494,0,51,49,0,0,"0,6846775329","-0,466474517","-0,039655246","-0,090869913","0,1535620826","-0,0848841","-0,313644605"
4,0,0,1789128,38540,1140768,0,0,0,4,9801,489,1,51,49,0,0,"0,6217200331","-0,454943589","-0,059559319","-0,101569203","0,1403100644","-0,092930154","-0,299798812"
5,0,0,1787784,38548,1140760,0,0,0,12,10633,498,0,51,49,0,0,"0,864883734","-0,482463614","0,231609101","0,0712538011","0,1659401674","-0,121805989","-0,000046026"
6,0,0,1787784,38548,1140760,0,0,0,0,10699,490,0,51,49,0,0,"0,9972655068","-0,476672848","0,4583951159","0,211463696","0,1630780914","-0,191114144","0,3137439971"
6,0,0,1787784,38548,1140760,0,0,0,0,10154,478,0,51,49,0,0,"0,9363854076","-0,451105253","0,4074310165","0,185807438","0,14447202","-0,224875036","0,3168120227"
3,0,0,1794644,38548,1149592,0,0,8796,0,7278,652,0,55,44,1,0,"0,1455680508","0,6035637502","-0,374950177","-0,253051761","-0,333214856","-0,352454021","-0,531028183"
5,0,0,1794644,38548,1149596,0,0,0,8,11026,491,0,51,49,0,0,"0,9246569419","-0,509300595","0,2714155772","0,0885596426","0,1905651779","-0,125077001","-0,012649578"
5,0,0,1794644,38556,1149596,0,0,0,28,10587,563,1,51,49,0,0,"0,8596286192","-0,433524448","0,2065406521","0,0892197727","0,116566737","-0,014644774","0,0445073032"
5,0,0,1793300,38556,1149596,0,0,0,0,10545,496,0,51,49,0,0,"0,8741489184","-0,475502896","0,2203881727","0,0695722149","0,1634699442","-0,130165521","-0,002188744"
5,0,0,1793300,38556,1149596,0,0,0,0,11053,472,0,51,49,0,0,"0,9236968169","-0,525113291","0,2824778972","0,0855130128","0,2055799462","-0,154290788","-0,023193094"
8,0,0,1793300,38556,1149596,0,0,0,4,11218,489,0,51,49,0,0,"1,3194158176","-0,477233981","0,9444728972","0,5133963101","0,1670048985","-0,297258176","0,9424333842"
2,0,0,1786492,38556,1149600,0,0,0,0,8188,576,0,52,48,0,0,"0,2498109349","-0,262623083","-0,636101489","-0,423149646","0,0378468214","0,1249878946","-0,929652911"
2,0,0,1779772,38564,1149604,0,0,0,64,10075,336,0,51,49,0,0,"0,3935086705","-0,61682215","-0,401955953","-0,404725148","0,2924799973","-0,216706387","-1,029788241"
3,0,0,1779772,38564,1149604,0,0,0,0,10487,485,0,51,49,0,0,"0,603265665","-0,515722747","-0,207364814","-0,213530749","0,1956177307","-0,02994559","-0,644230419"
3,0,0,1768800,38564,1149604,0,0,0,0,7340,489,1,52,48,0,0,"0,2205158222","-0,268164664","-0,449973367","-0,336450918","0,0488914243","-0,081796483","-0,626074148"
2,0,0,1768800,38564,1149604,0,0,0,8,10585,472,0,51,49,0,0,"0,4748152628","-0,551261563","-0,402129626","-0,351589606","0,2246351253","0,0128797677","-0,970064638"
3,0,0,1768800,38564,1149604,0,0,0,8,10175,486,0,51,49,0,0,"0,5587871505","-0,499826793","-0,232713792","-0,226621675","0,1828120798","-0,034272668","-0,636079296"
2,0,0,1796620,38564,1149604,0,0,0,0,7697,506,0,52,48,0,0,"0,1920712115","-0,279091196","-0,663650393","-0,459623572","0,0597177199","-0,001119886","-0,959097711"
4,0,0,1796620,38572,1149604,0,0,0,40,10526,516,0,51,49,0,0,"0,7478977763","-0,47532711","-0,007156165","-0,066375192","0,1595832049","-0,040583057","-0,309355156"
3,0,0,1796620,38572,1149604,0,0,0,0,10527,502,0,51,49,0,0,"0,6263578786","-0,499364377","-0,220571579","-0,207907341","0,1805948305","-0,005609444","-0,638946822"
4,0,0,1796620,38572,1149604,0,0,0,0,11089,489,0,51,49,0,0,"0,8090053779","-0,528990743","0,0598023149","-0,048150598","0,2060257119","-0,06902652","-0,335393457"
5,0,0,1796396,38572,1149604,0,0,0,0,10279,488,0,51,49,0,0,"0,8468238181","-0,463413252","0,1945168637","0,0565825153","0,1549729099","-0,150694222","-0,00231255"
7,0,0,1796144,38572,1149604,0,0,0,4,10470,414,0,62,38,0,0,"1,0281113223","0,0975361203","1,4096123655","0,3867265646","0,3122192846","-0,192818188","0,0409483655"
7,0,0,1796144,38580,1149596,0,0,0,60,10967,495,1,51,49,0,0,"1,1329148293","-0,477360928","0,7090372432","0,3673919775","0,1600200682","-0,227509254","0,6443838587"
7,0,0,1796144,38580,1149596,0,0,0,4,10321,491,0,51,49,0,0,"1,1011922127","-0,4334622","0,6325418568","0,337062735","0,1318369854","-0,260928542","0,6384238179"
8,0,0,1796144,38580,1149596,0,0,0,0,10169,494,0,51,49,0,0,"1,2111992028","-0,406190937","0,8327965721","0,4704609201","0,1105126584","-0,318562117","0,9620994598"
8,0,0,1796144,38580,1149596,0,0,0,0,10827,477,0,51,49,0,0,"1,2782595634","-0,46012949","0,9073804716","0,4943009396","0,1551410893","-0,327553605","0,9421573218"
7,0,0,1796144,38580,1149596,0,0,0,8,10335,487,0,51,49,0,0,"1,1012468758","-0,437436651","0,6358389553","0,3366805697","0,1353984715","-0,266761328","0,6363785713"
5,0,0,1792560,38588,1149600,0,0,0,12,9960,589,0,51,49,0,0,"0,8279133255","-0,371250818","0,1228495485","0,0658300056","0,0693436892","0,001370793","0,0565943335"
6,0,0,1785228,38588,1149584,0,0,0,0,7492,600,0,53,47,0,0,"0,6725129359","-0,086070621","0,2188377412","0,1147197179","-0,048889168","-0,071389436","0,323489605"
7,0,0,1785228,38588,1149584,0,0,0,4,10909,484,0,51,49,0,0,"1,1528481208","-0,479824378","0,7024453019","0,360163211","0,1692153799","-0,253679399","0,6266452423"
7,0,0,1785228,38588,1149584,0,0,0,0,10792,504,0,51,49,0,0,"1,1450253603","-0,457633886","0,681943763","0,3598364282","0,1492786726","-0,225363157","0,6386908307"
7,0,0,1785228,38588,1149584,0,0,0,0,10564,481,0,51,49,0,0,"1,1158775128","-0,460110659","0,6680762787","0,3450286016","0,1541509165","-0,267895768","0,6307023776"
3,0,0,1770836,38596,1149584,0,0,0,28,7308,605,1,52,48,0,0,"0,2382496611","-0,18151239","-0,501172613","-0,311958652","-0,034607868","0,1009356846","-0,56426076"
6,0,0,1769492,38596,1149584,0,0,0,8,9156,470,0,51,49,0,0,"0,8220571643","-0,401055488","0,3208099414","0,1440168467","0,1084308016","-0,261787434","0,3322701975"
5,0,0,1769492,38596,1149584,0,0,0,0,9832,486,0,51,49,0,0,"0,7739944971","-0,446958189","0,1658561384","0,0371721254","0,1422386688","-0,160224507","0,0087271713"
5,0,0,1769492,38596,1149584,0,0,0,4,9016,481,0,51,49,0,0,"0,6848672593","-0,399338112","0,0843769865","0,0016320206","0,1053041966","-0,190177448","0,0202629416"
5,0,0,1769492,38596,1149584,0,0,0,0,8565,493,0,51,49,0,0,"0,6396023451","-0,361951871","0,03291014","-0,014564414","0,0744195012","-0,183571868","0,0338556836"
2,0,0,1796712,38604,1149584,0,0,0,32,8999,530,0,51,49,0,0,"0,3382568438","-0,399102283","-0,60475545","-0,405443568","0,0970294337","0,0561153631","-0,916329363"
2,0,0,1790944,38604,1149584,0,0,0,0,6237,530,0,52,48,0,0,"0,0352765875","-0,171627389","-0,819996768","-0,515664732","-0,027954575","-0,001628458","-0,920977966"
3,0,0,1790944,38604,1149584,0,0,0,144,9371,493,0,51,49,0,0,"0,4728018539","-0,441047545","-0,324763778","-0,260968939","0,133074992","-0,046145468","-0,613817903"
3,0,0,1790944,38604,1149584,0,0,0,0,9756,468,0,51,49,0,0,"0,531558101","-0,477832228","-0,282156264","-0,248095193","0,167949828","-0,079049192","-0,642438884"
