r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st,Principale1,Principale2,Principale3,Principale4,Principale5,Principale6,Principale7
6,0,0,1198336,34200,1746720,0,0,0,0,12098,470,0,51,49,0,0,"0,4609155403","0,2851898603","-0,797367979","1,4647423349","-1,010966338","0,8991062887","-1,459991966"
5,0,0,1198336,34200,1746720,0,0,0,0,11822,484,1,51,49,0,0,"0,2716722077","0,1591705082","-0,573264837","1,0890351347","-0,926501649","0,3664323404","-1,104107936"
5,0,0,1198336,34200,1746720,0,0,0,0,11697,469,1,51,49,0,0,"0,2462309614","0,1321358533","-0,581221345","1,1369001006","-0,920766665","0,4046610018","-1,051885887"
5,0,0,1198336,34200,1746720,0,0,0,8,11023,467,0,51,49,0,0,"0,1434965607","0,1298924815","-0,653309166","1,1016693015","-0,737669404","0,437594219","-1,112731655"
5,0,0,1189432,34200,1747336,0,0,640,0,10213,570,1,53,46,0,0,"0,288619443","0,6401555692","-0,493440391","0,6986310263","-0,706861064","0,1809881856","-1,497314714"
3,0,0,1209916,34208,1747944,0,0,572,16,8617,471,1,52,48,0,0,"-0,451063506","-0,014185781","-0,272105136","0,3337679466","-0,257656593","-0,501355088","-0,422654634"
3,0,0,1209916,34208,1747944,0,0,0,0,11364,423,0,51,49,0,0,"-0,262784811","-0,448965595","-0,519243352","0,6962271595","-0,441785777","-0,507089445","-0,128669086"
2,0,0,1209916,34208,1747944,0,0,0,0,12049,418,0,51,49,0,0,"-0,392716573","-0,736361531","-0,464105747","0,4699390052","-0,336890078","-1,049213839","0,3244774969"
4,0,0,1209916,34208,1747944,0,0,0,0,11807,433,1,51,49,0,0,"0,021257352","-0,184854563","-0,520184839","0,9809438494","-0,770584515","-0,026712029","-0,507645112"
2,0,0,1203168,34208,1747944,0,0,0,12,10853,522,1,52,48,0,0,"-0,352863586","-0,299105376","-0,235470974","0,0011740893","-0,286240816","-1,248416434","-0,111264844"
2,0,0,1189928,34216,1747960,0,0,0,28,9628,435,1,51,49,0,0,"-0,56773685","-0,487762024","-0,218452322","0,206825174","-0,200879546","-0,956848989","0,162917979"
2,0,0,1190184,34216,1747960,0,0,0,0,11677,425,0,51,49,0,0,"-0,385221569","-0,706251708","-0,436790182","0,3989480011","-0,283251671","-1,036930368","0,2854540707"
4,0,0,1190184,34216,1747960,0,0,0,0,12008,423,0,51,49,0,0,"0,047943791","-0,283266744","-0,64108","1,0230529504","-0,658967361","-0,009367681","-0,478878936"
3,0,0,1190184,34216,1747960,0,0,0,0,11873,414,0,51,49,0,0,"-0,173359645","-0,521010386","-0,549779365","0,7513317601","-0,478063529","-0,503179144","-0,055565634"
2,0,0,1193140,34216,1747964,0,0,0,0,7903,582,0,52,48,0,0,"-0,625473751","0,0039512623","-0,138202009","-0,454132769","0,1467917145","-1,225660473","-0,536542525"
2,0,0,1211672,34224,1747956,0,0,0,36,9522,438,0,52,48,0,0,"-0,588109213","-0,450936442","-0,337361578","0,2166241502","-0,060714866","-0,978660919","0,1195773548"
3,0,0,1211672,34224,1747964,0,0,0,0,11444,436,1,51,49,0,0,"-0,200228079","-0,381131059","-0,395338834","0,6290447393","-0,54881484","-0,506932485","-0,137503185"
2,0,0,1190592,34224,1747968,0,0,0,0,8403,494,1,51,48,0,0,"-0,623747401","-0,230915742","-0,108637617","-0,111903364","-0,061797576","-1,023446127","-0,127770812"
3,0,0,1190592,34224,1747968,0,0,0,0,11547,252,0,51,49,0,0,"-0,329867763","-0,889200493","-0,680002937","1,3350360727","-0,505684528","-0,125898775","0,5689522763"
2,0,0,1216244,34224,1747968,0,0,0,0,10622,543,1,52,47,0,0,"-0,3440157","-0,2007421","-0,199551174","-0,101599949","-0,252285473","-1,265575127","-0,196789213"
3,0,0,1201344,34232,1747996,0,0,4,52,9362,495,1,53,47,0,0,"-0,259945212","0,0199493016","-0,290672196","0,2894503573","-0,289459231","-0,594654841","-0,46371928"
3,0,0,1201344,34232,1747996,0,0,0,4,11794,427,0,51,49,0,0,"-0,172362061","-0,482555099","-0,52050935","0,6825320901","-0,454230036","-0,496925602","-0,107108052"
3,0,0,1201344,34232,1747996,0,0,0,0,12127,423,1,50,49,0,0,"-0,134563515","-0,499525389","-0,410011382","0,7021994402","-0,621917723","-0,479922676","-0,043357823"
2,0,0,1194624,34232,1747996,0,0,0,0,11349,462,0,51,49,0,0,"-0,380622278","-0,595929509","-0,374597097","0,217220683","-0,223834261","-1,071482858","0,1273371182"
3,0,0,1211292,34232,1747996,0,0,0,0,10270,514,0,52,48,0,0,"-0,238478853","-0,099385886","-0,396638308","0,2646298121","-0,268993332","-0,642704495","-0,529735678"
3,0,0,1211292,34240,1747988,0,0,0,56,12101,419,0,51,49,0,0,"-0,152573585","-0,520290691","-0,526960264","0,7371423656","-0,476817699","-0,480830048","-0,058241725"
4,0,0,1211044,34240,1747996,0,0,0,44,12029,418,1,51,49,0,0,"0,0674832093","-0,2456616","-0,515263734","1,0239920241","-0,762662549","0,048605066","-0,422255272"
4,0,0,1211044,34240,1747996,0,0,0,4,12263,417,0,51,49,0,0,"0,0622288425","-0,311573645","-0,638976296","1,0459251791","-0,670869344","0,0376783203","-0,435971331"
