timeStamp,elapsed,label,responseCode,responseMessage,threadName,success,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Principale1,Principale2,Principale3,Principale4
"1,700239e+12",887,HTTP Request L1,200,OK,Thread Group 1-3,true,24636578,122,8,8,9,0,"-1,784926864","0,4698145479","0,1425224665","-0,095219588"
"1,700239e+12",978,HTTP Request L3,200,OK,Thread Group 1-3,true,41515418,122,11,11,36,0,"-1,701410815","0,8489734798","0,0347110494","0,275669925"
"1,700239e+12",3,HTTP Request S10,200,OK,Thread Group 1-3,true,169788,122,15,15,1,0,"-1,381179506","-0,188204536","0,2121811955","-0,455420697"
"1,700239e+12",31,HTTP Request MH10,200,OK,Thread Group 1-3,true,974939,122,21,21,13,0,"-1,104419426","-0,219532135","0,1606353835","-0,354452625"
"1,700239e+12",11442,HTTP Request ML11,200,OK,Thread Group 1-3,true,639340,122,41,41,6371,0,"2,4854217365","-0,616151668","0,5674008615","1,0752843853"
"1,700239e+12",2588,HTTP Request MH4,200,OK,Thread Group 1-3,true,899173,122,44,44,92,0,"0,0063846777","-0,380564398","-0,024865261","-0,063773225"
"1,700239e+12",15396,HTTP Request MH1,200,OK,Thread Group 1-3,true,1072803,122,44,44,2009,0,"0,9044750248","-0,301904539","0,1179608352","0,1262143111"
"1,700239e+12",555,HTTP Request MH9,200,OK,Thread Group 1-3,true,966152,122,44,44,110,0,"-0,006803383","-0,410692226","-0,017611997","-0,023360744"
"1,700239e+12",811,HTTP Request L4,200,OK,Thread Group 1-4,true,49283390,122,4,4,7,0,"-2,065534201","1,0931526669","0,0495378785","0,3246709842"
"1,700239e+12",2535,HTTP Request L8,200,OK,Thread Group 1-4,true,139616020,122,8,8,4,0,"-2,21777823","3,2511714828","-0,447500676","2,0891232533"
"1,700239e+12",66,HTTP Request MH1,200,OK,Thread Group 1-4,true,1072802,122,8,8,12,0,"-1,700218938","-0,107595058","0,2650290644","-0,534068274"
"1,700239e+12",28,HTTP Request ML10,200,OK,Thread Group 1-4,true,644855,122,12,12,5,0,"-1,518560564","-0,151532666","0,2343208273","-0,487548784"
"1,700239e+12",9,HTTP Request ML8,200,OK,Thread Group 1-4,true,542324,122,16,16,2,0,"-1,336369134","-0,187630487","0,2022798277","-0,434239656"
"1,700239e+12",30,HTTP Request MH2,200,OK,Thread Group 1-4,true,1046521,122,23,23,7,0,"-1,015528598","-0,234230202","0,1435409082","-0,326539992"
"1,700239e+12",8729,HTTP Request ML8,200,OK,Thread Group 1-4,true,542325,122,41,41,3780,0,"1,4158921317","-0,499286691","0,3313230875","0,5677959772"
"1,700239e+12",184,HTTP Request S3,200,OK,Thread Group 1-4,true,42123,121,44,44,93,0,"-0,014031258","-0,456095304","-0,103233225","-0,037563682"
