procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 1173828  34264 1747996    0    0     0     8 9905  405  0 52 48  0  0
 2  0      0 1173828  34264 1747996    0    0     0     0 12018  429  0 51 49  0  0
 3  0      0 1173828  34264 1747996    0    0     0     0 11597  415  0 51 49  0  0
 3  0      0 1173828  34264 1747996    0    0     0     4 11897  425  0 51 49  0  0
 3  0      0 1173828  34272 1747996    0    0     0    16 11805  440  0 51 49  0  0
 2  0      0 1200944  34272 1747996    0    0     0     4 11116  464  0 52 48  0  0
 3  0      0 1185912  34272 1747996    0    0     0     0 10480  480  1 51 48  0  0
 3  0      0 1185912  34272 1747996    0    0     0     0 12363  426  1 50 49  0  0
 2  0      0 1200692  34272 1747996    0    0     0   132 8570  454  0 51 49  0  0
 3  0      0 1200692  34280 1747996    0    0     0    28 11479  279  0 51 49  0  0
 2  0      0 1192628  34280 1747996    0    0     0     0 11272  459  1 51 49  0  0
 2  0      0 1181428  34280 1747996    0    0     0     4 9348  458  1 51 48  0  0
 2  0      0 1181428  34280 1747996    0    0     0     0 12168  412  0 51 49  0  0
 2  0      0 1195116  34280 1747996    0    0     0     0 8403  471  0 51 49  0  0
 3  0      0 1195116  34288 1747996    0    0     0    16 11580  395  1 51 49  0  0
 3  0      0 1195116  34288 1747996    0    0     0     4 11771  433  1 50 49  0  0
 2  0      0 1174284  34288 1747996    0    0     0     4 9064  501  0 52 48  0  0
 2  0      0 1174284  34288 1747996    0    0     0     0 11974  385  0 51 49  0  0
 2  0      0 1172492  34288 1747996    0    0     0     0 10277  431  0 51 49  0  0
 2  0      0 1194016  34296 1748000    0    0     0    32 8484  419  1 51 48  0  0
 2  0      0 1180408  34324 1748772    0    0   676    28 11555  507 27 57 16  1  0
 3  0      0 1170048  34324 1748772    0    0     0    16 9853  495  5 54 42  0  0
 3  0      0 1133508  34344 1749268    0    0   584     0 8840  576 30 64  6  1  0
 3  0      0 1133508  34344 1749332    0    0     0     0 12008  425  0 51 49  0  0
 2  0      0 1154532  34344 1749340    0    0     0     0 5304  707  0 53 47  0  0
 2  0      0 1122892  34344 1749332    0    0     0     8  829  872  1 56 44  0  0
 4  0      0 1118396  34352 1749332    0    0     0    56 7451  528  0 53 47  0  0
 4  0      0 1118396  34352 1749332    0    0     0     8 11431  429  0 51 49  0  0
 4  0      0 1178336  34352 1749328    0    0     0     0 10661  605  2 52 47  0  0
 4  0      0 1168356  34352 1749324    0    0     0     0 9563  627  1 53 46  0  0
 6  0      0 1168356  34352 1749324    0    0     0     0 11573  425  0 51 49  0  0
 4  0      0 1181756  34360 1749324    0    0     0    28 8215  472  0 52 48  0  0
 4  0      0 1180016  34360 1749324    0    0     0     0 10858  256  0 51 49  0  0
 4  0      0 1180016  34360 1749324    0    0     0    12 10208  409  1 51 49  0  0
 2  0      0 1175736  34360 1749324    0    0    40     0 9350  458  0 51 49  0  0
 2  0      0 1166328  34360 1749364    0    0     0     0 8203  375  1 51 49  0  0
 2  0      0 1166328  34360 1749364    0    0     0     4 9906  419  0 51 49  0  0
 2  0      0 1178452  34368 1749364    0    0     0    16 7825  528  1 51 48  0  0
 4  0      0 1178452  34368 1749364    0    0     0     0 10502  483  1 51 48  0  0
 4  0      0 1178452  34368 1749376    0    0     0     4 9372  423  1 51 49  0  0
 4  0      0 1178452  34368 1749376    0    0     0     0 10566  415  0 51 49  0  0
 2  0      0 1159636  34368 1749376    0    0     0     0 8578  513  1 51 49  0  0
 3  0      0 1159636  34376 1749376    0    0     0    20 11824  437  0 51 49  0  0
 4  0      0 1159636  34376 1749376    0    0     0     0 9637  403  1 51 49  0  0
 3  0      0 1159636  34376 1749376    0    0     0     0 9326  399  0 51 49  0  0
