procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 1817400  40080 1105716    0    0     0     0 12213  536  1 51 49  0  0
 2  0      0 1813700  40080 1105716    0    0     0     0 8594  653  1 52 47  0  0
 2  0      0 1813700  40080 1105716    0    0     0     0 11564  536  1 50 49  0  0
 2  0      0 1825004  40080 1105716    0    0     0     4 9696  638  2 51 48  0  0
 2  0      0 1818284  40088 1105716    0    0     0    28 9574  443  1 50 48  0  0
 2  0      0 1818284  40088 1105716    0    0     0     0 11686  543  1 51 49  0  0
 4  0      0 1818284  40088 1105716    0    0     0     0 11832  549  1 51 48  0  0
 5  0      0 1816940  40088 1105716    0    0     0     0 11760  555  1 51 49  0  0
 5  0      0 1816940  40088 1105716    0    0     0     4 11314  536  2 51 48  0  0
 4  0      0 1816940  40096 1105716    0    0     0    20 11424  542  1 51 49  0  0
 4  0      0 1816940  40096 1105716    0    0     0     4 12225  543  1 51 49  0  0
 3  0      0 1815352  40096 1105728    0    0     0     0 8554  772  1 53 46  0  0
 3  0      0 1815352  40096 1105728    0    0     0     0 11303  528  1 50 49  0  0
 3  0      0 1815352  40096 1105728    0    0     0   152 12003  538  1 51 48  0  0
 3  0      0 1815352  40104 1105728    0    0     0    60 12499  549  1 51 49  0  0
 4  0      0 1815352  40104 1105728    0    0     0     0 12118  533  1 51 49  0  0
 4  0      0 1815352  40104 1105728    0    0     0     8 11556  545  1 51 48  0  0
 2  0      0 1815728  40104 1105728    0    0     0     0 8693  661  2 51 47  0  0
 3  0      0 1815728  40104 1105728    0    0     0     0 12579  545  1 51 48  0  0
 4  0      0 1815728  40112 1105728    0    0     0    32 12523  555  1 51 49  0  0
 4  0      0 1815728  40112 1105728    0    0     0     0 11591  547  1 51 49  0  0
 4  0      0 1815728  40112 1105732    0    0     0     0 11929  548  2 50 48  0  0
 4  0      0 1815728  40112 1105732    0    0     0    12 12410  543  1 51 49  0  0
 5  0      0 1815728  40112 1105732    0    0     0     0 12442  553  1 50 49  0  0
 5  0      0 1815728  40120 1105732    0    0     0    20 11462  534  1 51 48  0  0
 5  0      0 1815728  40120 1105732    0    0     0     0 11862  550  1 51 49  0  0
 5  0      0 1815728  40120 1105732    0    0     0     0 11861  545  1 50 49  0  0
 2  0      0 1813712  40120 1105732    0    0     0     0 9757  660  1 52 48  0  0
 2  0      0 1838668  40120 1105732    0    0     0     4 10890  479  1 51 48  0  0
 2  0      0 1838668  40128 1105732    0    0     0    28 11907  562  2 51 48  0  0
 3  0      0 1838668  40128 1105732    0    0     0     0 11790  538  2 50 49  0  0
 4  0      0 1838668  40128 1105732    0    0     0     0 12433  538  0 51 49  0  0
 3  0      0 1832092  40128 1105732    0    0     0     4 8229  603  1 52 47  0  0
 3  0      0 1832092  40128 1105732    0    0     0     0 11929  538  1 51 49  0  0
 3  0      0 1832092  40136 1105732    0    0     0    24 11584  584  1 51 48  0  0
 4  0      0 1832092  40136 1105732    0    0     0     0 11089  539  1 51 49  0  0
 4  0      0 1832092  40136 1105732    0    0     0     0 11633  536  1 51 48  0  0
 2  0      0 1832772  40136 1105732    0    0     0     0 9397  656  2 51 47  0  0
 2  0      0 1822444  40136 1105732    0    0     0     0 10770  441  1 51 49  0  0
 3  0      0 1822444  40144 1105732    0    0     0    12 12441  545  1 51 49  0  0
 3  0      0 1835452  40144 1105732    0    0     0     4 8652  645  1 52 48  0  0
 4  0      0 1835452  40144 1105732    0    0     0   232 11710  557  1 51 48  0  0
 3  0      0 1835452  40144 1105732    0    0     0     0 11910  546  0 51 49  0  0
 3  0      0 1811192  40144 1105748    0    0     0     0 8685  721  1 52 47  0  0
 3  0      0 1811192  40152 1105748    0    0     0    32 12203  550  1 51 49  0  0
 3  0      0 1829256  40152 1105748    0    0     0     4 9334  688  1 52 47  0  0
 2  0      0 1816688  40152 1105748    0    0     0     4 10578  563  1 51 48  0  0
 3  0      0 1816688  40152 1105748    0    0     0     0 12080  556  1 51 49  0  0
 3  0      0 1816688  40152 1105748    0    0     0     0 11666  548  1 50 49  0  0
 4  0      0 1816688  40160 1105748    0    0     0    48 12064  559  1 51 49  0  0
 4  0      0 1816688  40160 1105748    0    0     0     0 12435  534  0 51 49  0  0
 2  0      0 1809576  40160 1105748    0    0     0     0 9137  653  1 51 48  0  0
 3  0      0 1826972  40160 1105748    0    0     0     4 11551  562  1 51 48  0  0
 3  0      0 1826972  40160 1105748    0    0     0     0 12252  550  1 50 49  0  0
 3  0      0 1826720  40168 1105748    0    0     0    16 11551  543  1 51 49  0  0
 3  0      0 1810044  40168 1105748    0    0     0     0 8108  616  2 52 47  0  0
 3  0      0 1810044  40168 1105748    0    0     0     0 12391  606  1 51 49  0  0
 3  0      0 1810044  40168 1105760    0    0     0     4 11580  547  1 51 48  0  0
 2  0      0 1825976  40168 1105760    0    0     0     4 7758  606  1 52 47  0  0
 4  0      0 1825976  40176 1105764    0    0     0    16 10653  555  3 50 48  0  0
 4  0      0 1825728  40176 1105764    0    0     0     4 11655  540  1 51 48  0  0
 4  0      0 1825728  40176 1105764    0    0     0     0 12025  538  2 50 49  0  0
 3  0      0 1804424  40176 1105764    0    0     0     0 8491  649  2 52 47  0  0
 3  0      0 1804424  40176 1105764    0    0     0     0 11521  546  1 50 49  0  0
 3  0      0 1804424  40184 1105764    0    0     0    20 12174  547  1 51 49  0  0
 3  0      0 1804424  40184 1105764    0    0     0     0 12484  542  1 50 49  0  0
 3  0      0 1804424  40184 1105764    0    0     0     0 12148  547  1 51 49  0  0
 4  0      0 1820524  40184 1105764    0    0     0     4 8047  597  1 52 47  0  0
 4  0      0 1820524  40184 1105764    0    0     0     0 11264  528  2 50 48  0  0
 4  0      0 1820524  40192 1105764    0    0     0    12 11832  545  1 51 48  0  0
 4  0      0 1820524  40192 1105768    0    0     0     8 12037  539  2 51 48  0  0
 5  0      0 1820524  40192 1105768    0    0     0     0 12134  540  1 51 49  0  0
 5  0      0 1820524  40192 1105768    0    0     0     0 11981  540  1 50 49  0  0
 5  0      0 1820524  40192 1105768    0    0     0    96 11880  550  1 51 49  0  0
 5  0      0 1820524  40200 1105768    0    0     0    20 12259  550  1 51 49  0  0
 3  0      0 1820548  40200 1105768    0    0     0     0 9238  620  1 52 47  0  0
 4  0      0 1815172  40200 1105768    0    0     0     4 11454  548  1 50 49  0  0
 4  0      0 1815172  40200 1105768    0    0     0     0 12096  555  1 51 48  0  0
 4  0      0 1813604  40200 1105768    0    0     0     0 11794   92  0 92  8  0  0
 5  0      0 1813604  40208 1105760    0    0     0    16 11365  524  1 51 48  0  0
 4  0      0 1813604  40208 1105768    0    0     0     4 11373  535  2 50 48  0  0
 2  0      0 1826876  40208 1105768    0    0     0     0 6916  559  1 52 47  0  0
 3  0      0 1826876  40208 1105768    0    0     0     4 9820  526  1 51 48  0  0
 5  0      0 1814532  40228 1106548    0    0   676     0 10737  636 12 58 30  1  0
 4  0      0 1812824  40228 1106536    0    0     0     8 10497  519 12 52 36  0  0
 4  0      0 1812824  40236 1106536    0    0     0    52 11254  561  2 50 48  0  0
 3  0      0 1812824  40236 1106536    0    0     0     4 10406  534  1 51 48  0  0
 3  0      0 1773136  40248 1106532    0    0    16     0 4765  734 33 63  4  0  0
 3  0      0 1794960  40256 1107096    0    0   568     4 8599  584  7 54 39  1  0
 3  0      0 1794960  40256 1107096    0    0     0     0 11765  554  1 51 49  0  0
 3  0      0 1794960  40264 1107096    0    0     0    52 12298  556  0 51 49  0  0
 4  0      0 1782248  40264 1107096    0    0     0     0 8755  611  1 52 47  0  0
 4  0      0 1782248  40264 1107096    0    0     0     0 11558  544  1 51 49  0  0
 4  0      0 1782248  40264 1107096    0    0     0     4 10089  544  2 51 48  0  0
 5  0      0 1782248  40264 1107096    0    0     0     4 8087  543  2 51 48  0  0
 5  0      0 1782248  40272 1107096    0    0     0    12 5891  541  2 51 47  0  0
 5  0      0 1782376  40272 1107096    0    0     0     0 8355  681  4 51 45  0  0
 3  0      0 1777252  40272 1107092    0    0     0     0 8792  617  0 52 48  0  0
 3  0      0 1772548  40272 1107092    0    0     0     0 11340  534  1 52 47  0  0
 4  0      0 1772548  40272 1107092    0    0     0     0 9326  519  2 51 48  0  0
 4  0      0 1772548  40280 1107092    0    0     0    32 8262  556  1 51 48  0  0
 2  0      0 1779168  40280 1107092    0    0     0     0 6972  636  1 51 48  0  0
 2  0      0 1779168  40280 1107092    0    0     0     0 10755  541  1 51 48  0  0
 3  0      0 1779168  40280 1107092    0    0     0     4 11326  544  1 51 49  0  0
 2  0      0 1763228  40280 1107092    0    0     0     0 9434  670  1 51 48  0  0
 2  0      0 1792192  40288 1107092    0    0     0    16 11555  449  1 50 49  0  0
 2  0      0 1792192  40288 1107092    0    0     0     4 12448  545  1 50 49  0  0
 3  0      0 1778536  40288 1107092    0    0     0     0 8458  656  0 52 48  0  0
 3  0      0 1778536  40288 1107092    0    0     0     0 11922  531  1 51 49  0  0
 2  0      0 1785688  40288 1107092    0    0     0     4 9236  657  1 53 47  0  0
 2  0      0 1784344  40288 1107092    0    0     0     0 11103  408  0 51 49  0  0
 3  0      0 1783000  40296 1107092    0    0     0    20 12955  163  0 86 14  0  0
 3  0      0 1783000  40296 1107092    0    0     0     4 12031  526  2 51 47  0  0
 3  0      0 1783000  40296 1107092    0    0     0     0 12279  501  1 51 48  0  0
 2  0      0 1787880  40296 1107092    0    0     0   116 8716  643  2 51 47  0  0
 3  0      0 1787880  40296 1107092    0    0     0    48 12126  601  2 50 48  0  0
 3  0      0 1787880  40304 1107104    0    0     0    20 12997  538  1 51 48  0  0
 3  0      0 1787880  40304 1107104    0    0     0     0 12097  530  1 51 49  0  0
 3  0      0 1762772  40304 1107104    0    0     0     4 8158  635  1 52 47  0  0
 4  0      0 1762772  40304 1107108    0    0     0     4 11714  531  1 51 49  0  0
 4  0      0 1762772  40304 1107108    0    0     0     0 12048  510  1 51 49  0  0
 4  0      0 1762772  40312 1107108    0    0     0    16 11988  549  2 50 48  0  0
 4  0      0 1762772  40312 1107108    0    0     0     0 12162  516  2 50 49  0  0
