procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 1770836  38596 1149584    0    0     0    28 7308  605  1 52 48  0  0
 6  0      0 1769492  38596 1149584    0    0     0     8 9156  470  0 51 49  0  0
 5  0      0 1769492  38596 1149584    0    0     0     0 9832  486  0 51 49  0  0
 5  0      0 1769492  38596 1149584    0    0     0     4 9016  481  0 51 49  0  0
 5  0      0 1769492  38596 1149584    0    0     0     0 8565  493  0 51 49  0  0
 2  0      0 1796712  38604 1149584    0    0     0    32 8999  530  0 51 49  0  0
 2  0      0 1790944  38604 1149584    0    0     0     0 6237  530  0 52 48  0  0
 3  0      0 1790944  38604 1149584    0    0     0   144 9371  493  0 51 49  0  0
 3  0      0 1790944  38604 1149584    0    0     0     0 9756  468  0 51 49  0  0
 4  0      0 1790944  38604 1149584    0    0     0     4 9410  519  0 51 49  0  0
 2  0      0 1782092  38612 1149584    0    0     0    16 6968  579  0 52 48  0  0
 2  0      0 1782092  38612 1149584    0    0     0     0 9749  463  0 51 49  0  0
 2  0      0 1782092  38612 1149584    0    0     0     0 10083  484  1 51 49  0  0
 3  0      0 1782092  38612 1149584    0    0     0     0 10147  484  0 51 49  0  0
 2  0      0 1782092  38612 1149584    0    0     0     0 10149  481  0 51 49  0  0
 3  0      0 1782092  38620 1149576    0    0     0    32 9984  507  0 51 49  0  0
 4  0      0 1782092  38620 1149576    0    0     0     0 10483  473  0 51 49  0  0
 4  0      0 1782092  38620 1149576    0    0     0     0 10505  476  0 51 49  0  0
 5  0      0 1782092  38620 1149576    0    0     0     0 10536  492  0 51 49  0  0
 2  0      0 1781072  38620 1149584    0    0     0     0 7102  539  1 51 48  0  0
 2  0      0 1781072  38628 1149584    0    0     0    16 9164  349  1 51 49  0  0
 3  0      0 1781072  38628 1149584    0    0     0     4 9430  476  0 51 49  0  0
 2  0      0 1775472  38628 1149588    0    0     0     0 10305  504  0 51 49  0  0
 2  0      0 1774868  38628 1149588    0    0     0     0 7181  463  0 51 49  0  0
 3  0      0 1774616  38628 1149588    0    0     0     4 9820  489  0 51 49  0  0
 2  0      0 1799996  38628 1149588    0    0     0     4 10123  532  0 51 49  0  0
 3  0      0 1796696  38636 1149588    0    0     0    16 7459  515  0 51 49  0  0
 3  0      0 1796696  38636 1149588    0    0     0     8 10223  483  0 51 49  0  0
 4  0      0 1796696  38636 1149588    0    0     0     0 10376  482  0 51 49  0  0
 4  0      0 1796696  38636 1149588    0    0     0     0 10765  472  1 50 49  0  0
 4  0      0 1796696  38636 1149588    0    0     0     0 10175  486  0 51 49  0  0
 3  0      0 1796696  38644 1149580    0    0     0    40 10428  494  1 50 49  0  0
 4  0      0 1796696  38644 1149580    0    0     0     0 10638  472  0 51 49  0  0
 5  0      0 1796696  38644 1149580    0    0     0     4 9780  487  0 51 49  0  0
 5  0      0 1796696  38644 1149580    0    0     0     0 8803  544  0 52 48  0  0
 5  0      0 1796696  38644 1149580    0    0     0     0 8034  492  0 51 49  0  0
 5  0      0 1796696  38652 1149572    0    0     0    16 8686  476  0 51 49  0  0
 4  0      0 1786168  38652 1149592    0    0     0     0 8150  508  1 51 48  0  0
 3  0      0 1787584  38652 1149592    0    0     0     0 6782  490  0 52 48  0  0
 3  0      0 1787584  38652 1149592    0    0     0     4 9607  491  0 51 49  0  0
 2  0      0 1783776  38652 1149592    0    0     0     0 8839  495  0 51 49  0  0
 4  0      0 1770840  38660 1149592    0    0     0    28 7008  533  1 53 47  0  0
 4  0      0 1770840  38660 1149592    0    0     0     0 9753  476  0 51 49  0  0
10  0      0 1770840  38660 1149592    0    0     0     4 10252  314  0 70 30  0  0
 3  0      0 1785916  38660 1149592    0    0     0     0 6918  561  0 53 47  0  0
 4  0      0 1785916  38660 1149592    0    0     0     4 7973  496  0 51 49  0  0
 4  0      0 1785916  38668 1149592    0    0     0    28 8980  480  0 51 49  0  0
 4  0      0 1785916  38668 1149592    0    0     0     0 7777  475  0 51 49  0  0
 5  0      0 1773568  38688 1150372    0    0   676     0 7340  571 21 57 21  1  0
 4  0      0 1772560  38688 1150372    0    0     0     8 6156  494  0 52 48  0  0
 3  0      0 1747660  38700 1150452    0    0    16     0 4548  640 31 65  4  0  0
 3  0      0 1738840  38716 1150928    0    0   568    76 6572  556  5 57 38  1  0
 3  0      0 1738840  38716 1150928    0    0     0     0 7967  485  0 51 49  0  0
 4  0      0 1738840  38716 1150928    0    0     0     0 7690  493  0 51 49  0  0
 4  0      0 1738840  38716 1150928    0    0     0     0 9300  484  0 51 49  0  0
16  0      0 1738840  38724 1150920    0    0     0    32 17189   84  0 97  3  0  0
 6  0      0 1725192  38724 1150908    0    0     0     4 6699  602  1 53 47  0  0
 5  0      0 1725192  38724 1150908    0    0     0     0 9820  474  0 51 49  0  0
 5  0      0 1725192  38724 1150908    0    0     0     0 10563  487  0 51 49  0  0
 3  0      0 1725192  38724 1150908    0    0     0     0 9412  473  0 51 49  0  0
 2  0      0 1725192  38724 1150908    0    0     0     0 10058  478  0 51 49  0  0
 3  0      0 1725192  38732 1150900    0    0     0    24 8981  493  0 51 49  0  0
 3  0      0 1725192  38732 1150900    0    0     0     4 8810  480  1 51 49  0  0
 4  0      0 1725192  38732 1150900    0    0     0     0 8595  490  0 51 49  0  0
 5  0      0 1725192  38732 1150900    0    0     0     0 9044  496  1 51 49  0  0
