procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 2330364  34092 650092    0    0  9450   495 1545   19 21 27 49  3  0
 1  0      0 2330364  34100 650188    0    0    32    56  293  652  1  0 99  0  0
 1  0      0 2330364  34100 650188    0    0     0     0  183  389  1  0 99  0  0
 2  0      0 2292564  34104 684396    0    0 34076     0  970  599  0 37 62  1  0
 1  0      0 2291808  34104 685124    0    0   772     0  301  377  0  2 98  0  0
 2  0      0 2278708  34104 697840    0    0 12748     4  625  414  0 12 88  1  0
 1  0      0 2265688  34104 710220    0    0 12284    12 1096  433  0 23 77  0  0
 3  0      0 2263168  34116 712616    0    0  2504    36  402  417  1  3 96  1  0
 2  0      0 2191996  34116 782532    0    0 69760     0 2321  854  0 55 41  4  0
 1  0      0 2119536  34116 849868    0    0 67072    76 2362 1027  0 70 24  6  0
 5  1      0 2041420  34120 911312    0    0 61316     0 2061  918  0 92  6  2  0
 4  0      0 1965432  34120 979328    0    0 67968     4 2312 1079  0 96  1  3  0
 2  0      0 1944084  34128 1014800    0    0 35296    32 1288  884  1 71 26  2  0
 4  0      0 1932552  34128 1017672    0    0  2816     0 8285  379  0 52 48  0  0
 4  0      0 1932552  34128 1017672    0    0     0     0 8605  495  1 51 48  0  0
 4  0      0 1931208  34128 1017672    0    0     0     0 8690  289  1 74 26  1  0
 5  0      0 1931208  34128 1017672    0    0     0     0 8492  504  1 51 49  0  0
 3  0      0 1930956  34128 1017672    0    0     0     0 8696  516  1 52 47  0  0
 4  0      0 1930956  34136 1017664    0    0     0  7736 8457  495  1 51 49  0  0
 4  0      0 1930956  34136 1017664    0    0     0     0 8941  493  1 51 49  0  0
 6  0      0 1930956  34136 1017664    0    0     0     0 10138  496  1 51 49  0  0
 6  0      0 1930956  34136 1017664    0    0     0     0 10222  485  1 51 49  0  0
 5  0      0 1930956  34136 1017664    0    0     0     0 10544  490  1 50 49  0  0
 5  0      0 1930956  34136 1017664    0    0     0     4 10162  486  0 51 49  0  0
 6  0      0 1930956  34144 1017688    0    0     0    24 9906  503  1 51 49  0  0
 6  0      0 1930956  34144 1017688    0    0     0     0 10318  500  1 51 49  0  0
 7  0      0 1930956  34144 1017704    0    0     0     4 10724  482  1 50 49  0  0
 6  0      0 1930956  34144 1017704    0    0     0     0 10946  489  1 51 49  0  0
 8  0      0 1930956  34144 1017704    0    0     0     0 10701  497  1 50 49  0  0
 8  0      0 1930956  34152 1017696    0    0     0    16 10615  495  1 51 49  0  0
 8  0      0 1930956  34152 1017696    0    0     0     0 10527  482  1 50 49  0  0
 7  0      0 1930956  34152 1017696    0    0     0     0 10843  504  0 51 48  0  0
 9  0      0 1930956  34152 1017696    0    0     0     0 10105  502  1 51 49  0  0
 9  0      0 1930956  34152 1017696    0    0     0     0 10802  476  1 51 49  0  0
 8  0      0 1930956  34160 1017688    0    0     0    12 10271  519  0 51 49  0  0
 9  0      0 1930956  34160 1017688    0    0     0     4 9937  478  1 51 49  0  0
10  0      0 1930956  34160 1017688    0    0     0     0 10227  490  1 51 49  0  0
 9  0      0 1930956  34160 1017688    0    0     0     0 10046  507  1 51 49  0  0
 9  0      0 1930956  34160 1017688    0    0     0     0 8942  497  1 51 48  0  0
 9  0      0 1930956  34168 1017680    0    0     0    24 9383  489  1 51 49  0  0
10  0      0 1930956  34168 1017680    0    0     0     0 9641  497  0 51 49  0  0
10  0      0 1930956  34168 1017680    0    0     0     4 10590  478  1 50 49  0  0
10  0      0 1930956  34168 1017704    0    0     0     0 10172  489  1 51 49  0  0
11  0      0 1930956  34168 1017704    0    0     0     0 9744  486  1 51 49  0  0
18  0      0 1920740  34176 1030024    0    0 12288    12 8009  490  0 78 22  0  0
 8  0      0 1919396  34176 1030024    0    0     0     0 9217  475  1 51 48  0  0
 8  0      0 1919396  34176 1030024    0    0     0     4 8406  473  1 50 49  0  0
 8  0      0 1919396  34176 1030024    0    0     0    68 7939  501  1 51 48  0  0
 9  0      0 1919396  34184 1030016    0    0     0    32 7933  485  1 52 48  0  0
 8  0      0 1919396  34184 1030016    0    0     0     0 7979  500  1 51 48  0  0
 9  0      0 1919396  34184 1030016    0    0     0     0 7989  484  1 50 49  0  0
 7  0      0 1919396  34184 1030044    0    0     0     0 8180  493  1 51 48  0  0
 8  0      0 1919396  34184 1030044    0    0     0     8 9427  496  1 50 49  0  0
 8  0      0 1919396  34184 1030044    0    0     0     0 10013  486  0 51 49  0  0
 7  0      0 1919396  34192 1030044    0    0     0    36 10392  496  0 51 49  0  0
 7  0      0 1919396  34192 1030044    0    0     0     0 10464  504  1 50 49  0  0
 8  0      0 1919396  34192 1030044    0    0     0     0 10097  485  1 51 49  0  0
 3  0      0 1889784  34192 1047944    0    0 17920     0 6748  622  1 61 38  0  0
 4  0      0 1889784  34192 1047944    0    0     0     4 9693  477  0 51 49  0  0
 4  0      0 1889784  34200 1047936    0    0     0    12 8922  510  1 51 49  0  0
 4  0      0 1892160  34204 1055444    0    0  7428     0 8401  568  1 53 46  1  0
 4  0      0 1900920  34204 1057132    0    0  1688     0 7933  447  1 52 47  0  0
 4  0      0 1900920  34204 1057132    0    0     0     0 9894  490  1 51 48  0  0
 3  0      0 1886064  34204 1057832    0    0   768     0 6168  498  1 54 46  0  0
 2  0      0 1886064  34212 1057824    0    0     0    20 8726  347  0 51 49  0  0
 3  0      0 1886064  34212 1057824    0    0     0     8 9816  493  1 51 49  0  0
 4  0      0 1886064  34212 1057824    0    0     0     4 9821  490  1 50 49  0  0
 3  0      0 1874832  34212 1058676    0    0   768     0 6569  528  1 52 47  0  0
 4  0      0 1874832  34212 1058676    0    0     0     0 8805  343  1 50 49  0  0
 4  0      0 1874832  34220 1058668    0    0     0    28 9746  498  1 51 48  0  0
 4  0      0 1874832  34220 1058668    0    0     0     4 10072  480  0 51 49  0  0
 4  0      0 1874832  34220 1058668    0    0     0     0 10112  528  1 51 49  0  0
 5  0      0 1873012  34220 1058668    0    0     0     4 10056  122  0 91  9  0  0
 4  0      0 1873012  34220 1058668    0    0     0     0 9559  503  0 51 49  0  0
 5  0      0 1873012  34228 1058660    0    0     0    12 10134  487  1 50 49  0  0
 3  0      0 1868392  34228 1059844    0    0  1152     0 6395  561  1 53 47  0  0
 4  0      0 1868392  34228 1059844    0    0     0     4 10398  481  0 51 49  0  0
 4  0      0 1868392  34228 1059844    0    0     0     0 9434  489  0 51 49  0  0
 4  0      0 1868392  34228 1059844    0    0     0     0 10279  496  0 51 49  0  0
