timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1703672756036,5,HTTP Request S 6,200,OK,Thread Group 1-2,bin,true,,79574,121,2,6,http://192.168.52.128/6.jpg,4,0,0
1703672756038,14,HTTP Request M 3,200,OK,Thread Group 2-1,text,true,,1188300,122,2,6,http://192.168.52.128/25.pdf,3,0,0
1703672756060,2,HTTP Request S 4,200,OK,Thread Group 1-1,text,true,,50098,121,2,6,http://192.168.52.128/4.csv,2,0,0
1703672756047,18,HTTP Request M 10,200,OK,Thread Group 2-2,text,true,,974938,122,2,6,http://192.168.52.128/32.pdf,5,0,0
1703672756121,2,HTTP Request S 3,200,OK,Thread Group 1-2,bin,true,,42122,121,2,6,http://192.168.52.128/3.jpg,2,0,0
1703672756125,10,HTTP Request M 1,200,OK,Thread Group 2-1,text,true,,1072802,122,2,6,http://192.168.52.128/23.csv,2,0,0
1703672756145,2,HTTP Request S 4,200,OK,Thread Group 1-1,text,true,,50098,121,2,6,http://192.168.52.128/4.csv,2,0,0
1703672756132,28,HTTP Request M 10,200,OK,Thread Group 2-2,text,true,,974938,122,2,6,http://192.168.52.128/32.pdf,4,0,0
1703672756208,5,HTTP Request S 9,200,OK,Thread Group 1-2,bin,true,,148144,121,2,6,http://192.168.52.128/9.jpg,3,0,0
1703672756210,13,HTTP Request M 6,200,OK,Thread Group 2-1,bin,true,,855007,122,2,6,http://192.168.52.128/28.bmp,5,0,0
1703672756233,15,HTTP Request S 10,200,OK,Thread Group 1-1,bin,true,,169788,122,2,6,http://192.168.52.128/10.mp4,6,0,0
1703672756219,56,HTTP Request M 1,200,OK,Thread Group 2-2,text,true,,1072802,122,2,6,http://192.168.52.128/23.csv,16,0,0
1703672756294,6,HTTP Request S 10,200,OK,Thread Group 1-2,bin,true,,169788,122,2,6,http://192.168.52.128/10.mp4,3,0,0
1703672756297,16,HTTP Request M 4,200,OK,Thread Group 2-1,text,true,,899172,122,2,6,http://192.168.52.128/26.csv,4,0,0
1703672756320,8,HTTP Request S 3,200,OK,Thread Group 1-1,bin,true,,42122,121,2,6,http://192.168.52.128/3.jpg,8,0,0
1703672756303,31,HTTP Request M 4,200,OK,Thread Group 2-2,text,true,,899172,122,2,6,http://192.168.52.128/26.csv,13,0,0
1703672756379,3,HTTP Request S 3,200,OK,Thread Group 1-2,bin,true,,42122,121,2,6,http://192.168.52.128/3.jpg,3,0,0
1703672756383,15,HTTP Request M 8,200,OK,Thread Group 2-1,,true,,944399,122,2,6,http://192.168.52.128/30.jmp,3,0,0
1703672756403,9,HTTP Request S 2,200,OK,Thread Group 1-1,bin,true,,43731,121,2,6,http://192.168.52.128/2.mp4,9,0,0
1703672756390,31,HTTP Request M 1,200,OK,Thread Group 2-2,text,true,,1072802,122,2,6,http://192.168.52.128/23.csv,10,0,0
1703672756466,6,HTTP Request S 2,200,OK,Thread Group 1-2,bin,true,,43731,121,2,6,http://192.168.52.128/2.mp4,6,0,0
1703672756468,15,HTTP Request M 9,200,OK,Thread Group 2-1,bin,true,,966151,122,2,6,http://192.168.52.128/31.bmp,5,0,0
1703672756489,2,HTTP Request S 2,200,OK,Thread Group 1-1,bin,true,,43731,121,2,6,http://192.168.52.128/2.mp4,1,0,0
1703672756476,26,HTTP Request M 5,200,OK,Thread Group 2-2,bin,true,,830181,122,2,6,http://192.168.52.128/27.jpg,2,0,0
