timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1703684498691,62,HTTP Request2 M 2,200,OK,Thread Group 2-1,bin,true,,855008,122,1,3,http://192.168.52.128/28.bmp,40,0,27
1703684498691,63,HTTP Request1 M 1,200,OK,Thread Group 1-1,text,true,,1072803,122,1,3,http://192.168.52.128/23.csv,40,0,27
1703684498757,35,HTTP Request1 M 2,200,OK,Thread Group 1-1,bin,true,,1046520,122,1,3,http://192.168.52.128/24.jpg,4,0,0
1703684498796,785,HTTP Request1 L 2,200,OK,Thread Group 1-1,text,true,,34622167,122,1,3,http://192.168.52.128/35.pdf,5,0,0
1703684499582,12,HTTP Request1 M 1,200,OK,Thread Group 1-1,text,true,,1072802,122,2,4,http://192.168.52.128/23.csv,3,0,0
1703684499605,4,HTTP Request2 S 1,200,OK,Thread Group 2-2,text,true,,72135,122,2,5,http://192.168.52.128/5.html,4,0,1
1703684499640,8,HTTP Request1 S 4,200,OK,Thread Group 1-1,text,true,,50098,121,2,6,http://192.168.52.128/4.csv,8,0,0
1703684499612,42,HTTP Request3 M 1,200,OK,Thread Group 3-2,bin,true,,966152,122,2,6,http://192.168.52.128/31.bmp,4,0,1
1703684499697,10,HTTP Request1 M 2,200,OK,Thread Group 1-1,bin,true,,1046520,122,2,6,http://192.168.52.128/24.jpg,3,0,0
1703684499692,34,HTTP Request2 M 4,200,OK,Thread Group 2-2,,true,,944399,122,2,6,http://192.168.52.128/30.jmp,13,0,0
1703684499777,14,HTTP Request2 M 4,200,OK,Thread Group 2-2,,true,,944399,122,2,6,http://192.168.52.128/30.jmp,3,0,0
1703684499865,13,HTTP Request2 S 2,200,OK,Thread Group 2-2,bin,true,,79574,121,2,6,http://192.168.52.128/6.jpg,6,0,0
1703684498757,1178,HTTP Request2 L 1,200,OK,Thread Group 2-1,text,true,,49283389,122,2,6,http://192.168.52.128/37.txt,5,0,0
1703684499949,15,HTTP Request2 S 1,200,OK,Thread Group 2-2,text,true,,72134,122,2,6,http://192.168.52.128/5.html,14,0,0
1703684499937,30,HTTP Request2 M 2,200,OK,Thread Group 2-1,bin,true,,855007,122,2,6,http://192.168.52.128/28.bmp,9,0,0
1703684500024,14,HTTP Request2 M 2,200,OK,Thread Group 2-1,bin,true,,855007,122,2,6,http://192.168.52.128/28.bmp,10,0,0
1703684500036,14,HTTP Request2 S 1,200,OK,Thread Group 2-2,text,true,,72134,122,2,6,http://192.168.52.128/5.html,14,0,0
1703684500110,5274,HTTP Request2 L 3,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 192.168.52.128:80 failed to respond,Thread Group 2-1,text,false,,2094,0,7,21,http://192.168.52.128/39.mp3,0,0,0
1703684500121,5263,HTTP Request2 S 4,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 192.168.52.128:80 failed to respond,Thread Group 2-2,text,false,,2094,0,7,21,http://192.168.52.128/8.html,0,0,0
1703684499590,6320,HTTP Request1 L 1,200,OK,Thread Group 1-2,text,true,,24636579,122,8,24,http://192.168.52.128/34.pdf,11,0,6
