procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 2315328  33688 645612    0    0  7385   388 1394   15 17 20 61  2  0
 1  0      0 2315328  33688 645672    0    0     0     0  749 1459  4  3 93  0  0
 1  0      0 2313348  33696 645672    0    0     0    52  724 1771  3  3 94  0  0
 1  0      0 2306264  33700 648552    0    0  2940     0  534  607  1  6 93  1  0
 2  0      0 2288384  33700 651272    0    0  2632     0 1448 1211  1 52 47  0  0
 2  0      0 2305328  33700 651284    0    0     0     0 1452 1222  2 52 47  0  0
 3  0      0 2289256  33700 651300    0    0     0     4 1349 1217  2 45 53  0  0
 2  0      0 2274976  33708 651304    0    0     0    40 1448 1384  2 49 49  0  0
 3  0      0 2288008  33708 651328    0    0     0    72 1383 1220  0 52 47  0  0
 4  0      0 2272872  33708 651340    0    0     0     0 1427 1263  2 52 46  0  0
 3  0      0 2292956  33708 651356    0    0     0     0 1550 1234  1 48 51  0  0
 2  0      0 2278704  33708 651368    0    0     0     0 1512 1186  1 46 53  0  0
 2  0      0 2268288  33716 651372    0    0     0    44 1698 1204  1 48 51  0  0
 2  0      0 2282604  33716 651392    0    0     0    68 1498 1128  1 53 46  0  0
 2  0      0 2280960  33716 651408    0    0     0    96 2758 1220  1 35 64  0  0
 2  0      0 2270220  33716 651424    0    0     0     0 2696 1405  1 26 73  0  0
 1  0      0 2274720  33716 651444    0    0     0     0 2808 1411  1 29 70  0  0
 2  0      0 2278896  33724 651456    0    0     0   116 2533 1331  2 26 73  0  0
 2  0      0 2280116  33724 651484    0    0     0     4 2555 1545  1 26 73  0  0
 1  0      0 2295168  33724 651504    0    0     0    96 2538 1510  1 28 71  0  0
 2  0      0 2280052  33724 651520    0    0     0     0 2728 1540  1 26 73  0  0
 1  0      0 2270812  33724 651540    0    0     0     0 2691 1434  0 29 71  0  0
 2  0      0 2267036  33732 651548    0    0     0    28 2613 1453  1 26 73  0  0
 2  0      0 2281796  33732 651576    0    0     0     0 2350 1402  1 24 75  0  0
 2  0      0 2279184  33732 651592    0    0     0   100 2594 1441  1 27 72  0  0
 1  0      0 2289188  33732 651612    0    0     0     0 2563 1438  1 28 71  0  0
 3  0      0 2290132  33732 651636    0    0     0     0 2485 1386  2 27 71  0  0
 3  0      0 2280116  33740 651644    0    0     0    28 1694 1278  1 38 61  0  0
 2  0      0 2268120  33740 651680    0    0     0    16 1408 1325  2 58 40  0  0
 2  0      0 2289452  33740 651696    0    0     0   104 1397 1374  1 55 44  0  0
 6  0      0 2269684  33740 651716    0    0     0     4 1382 1288  1 60 39  0  0
 3  0      0 2269864  33740 651736    0    0     0     0 1441 1316  2 54 45  0  0
 1  0      0 2286596  33748 651748    0    0     0    28 1437 1323  2 57 41  0  0
 2  0      0 2276888  33748 651772    0    0     0     0 1543 1417  1 55 44  0  0
 3  0      0 2261184  33748 651780    0    0     0    96 8480  756  0 56 44  0  0
 5  0      0 2261184  33748 651780    0    0     0     0 10482  576  0 51 49  0  0
 6  0      0 2261184  33748 651780    0    0     0     4 10342  579  0 51 49  0  0
 6  0      0 2261184  33748 651780    0    0     0     0 9522  582  1 51 49  0  0
 6  0      0 2261184  33756 651772    0    0     0    48 10249  582  0 51 49  0  0
 3  0      0 2271900  33756 651788    0    0     0     0 1222 1002  1 33 66  0  0
 1  0      0 2259276  33756 651804    0    0     0     0 1393 1295  2 58 40  0  0
 1  0      0 2283268  33756 651824    0    0     0     0 1482 1336  2 61 37  0  0
 6  0      0 2259516  33756 651844    0    0     0     4 1467 1370  2 53 45  0  0
 3  0      0 2262776  33756 651868    0    0     0     0 1400 1308  1 61 38  0  0
 2  0      0 2275720  33764 651892    0    0     0   120 1302 1342  2 58 40  0  0
 4  0      0 2257012  33764 651912    0    0     0    96 1460 1368  2 53 46  0  0
 1  0      0 2273036  33764 651928    0    0     0     0 1432 1325  2 56 43  0  0
 4  0      0 2256372  33764 651940    0    0     0     0 4478 1052  1 54 45  0  0
 4  0      0 2256372  33764 651944    0    0     0     8 10659  557  0 51 49  0  0
 4  0      0 2256372  33772 651944    0    0     0    72 9996  576  0 51 49  0  0
 4  0      0 2256372  33772 651944    0    0     0     0 10429  544  0 51 49  0  0
 4  0      0 2256372  33772 651944    0    0     0     0 9989  556  1 51 49  0  0
 5  0      0 2256372  33772 651948    0    0     0    68 10261  386  0 68 32  0  0
 1  0      0 2249068  33780 651948    0    0     0    32  890  925  1 24 75  0  0
 3  0      0 2253912  33780 651964    0    0     0     4 7512  728  1 52 47  0  0
 4  0      0 2253912  33780 651964    0    0     0     0 10545  583  1 51 49  0  0
 1  0      0 2276992  33780 651968    0    0     0     0 6697  613  1 38 61  0  0
 5  0      0 2252024  33780 651984    0    0     0     0 1260 1169  1 56 43  0  0
 1  0      0 2270012  33788 651996    0    0     0    84 1427 1311  2 54 45  0  0
 2  0      0 2260176  33788 652024    0    0     0    28 3925 1187  2 54 44  0  0
 2  0      0 2260176  33788 652024    0    0     0     4 9967  575  0 51 49  0  0
 2  0      0 2260176  33788 652024    0    0     0    92 9205  583  1 51 49  0  0
 2  0      0 2260176  33788 652024    0    0     0     0 10495  566  1 51 49  0  0
 4  0      0 2260176  33788 652024    0    0     0    32 9369  586  1 51 48  0  0
 5  0      0 2259504  33796 652024    0    0     0    28 9315  591  1 51 49  0  0
 6  0      0 2260764  33796 652024    0    0     0     0 10082  578  1 51 48  0  0
 1  0      0 2261016  33796 652024    0    0     0     4 7661  587  1 45 55  0  0
 4  0      0 2252404  33796 652036    0    0     0     0 3243 1007  1 41 58  0  0
 5  0      0 2252404  33796 652036    0    0     0     0 9850  524  0 51 49  0  0
 5  0      0 2252404  33804 652028    0    0     0    48 10117  572  0 51 49  0  0
 5  0      0 2252404  33804 652028    0    0     0     4 9285  513  0 51 49  0  0
 5  0      0 2252404  33804 652028    0    0     0     0 10066  546  1 51 49  0  0
 4  0      0 2251956  33804 652028    0    0     0     4 10214  476  0 57 43  0  0
 4  0      0 2251956  33804 652028    0    0     0     0 9515  517  0 51 49  0  0
 9  0      0 2251956  33812 652020    0    0     0    28 10772  496  0 59 41  0  0
 7  0      0 2251956  33812 652020    0    0     0     0 9995  563  0 51 49  0  0
 5  0      0 2251956  33812 652036    0    0     0     0 9781  541  0 51 49  0  0
 5  0      0 2251956  33812 652036    0    0     0     4 10489  564  0 51 49  0  0
 1  0      0 2251956  33812 652036    0    0     0     4 7199  519  1 36 63  0  0
 2  0      0 2264656  33820 652044    0    0     0    28 3207 1058  1 40 58  1  0
 3  0      0 2264656  33820 652048    0    0     0     0 8833  543  1 51 49  0  0
 2  0      0 2264656  33820 652048    0    0     0     0 9800  538  0 51 49  0  0
 5  0      0 2264656  33820 652048    0    0     0     0 9196  561  0 51 49  0  0
 5  0      0 2264656  33820 652048    0    0     0     0 9606  550  0 51 49  0  0
 4  0      0 2264656  33828 652048    0    0     0    36 9607  570  0 51 49  0  0
 4  0      0 2264656  33828 652048    0    0     0     0 9777  550  1 51 49  0  0
14  0      0 2264656  33828 652048    0    0     0     0 13890  451  0 71 29  0  0
 9  0      0 2264656  33828 652048    0    0     0     0 10312  555  0 51 49  0  0
 3  0      0 2260848  33828 652052    0    0     0     0 9675  592  0 52 48  0  0
 6  0      0 2260848  33836 652052    0    0     0    48 10381  566  0 51 49  0  0
 4  0      0 2258160  33836 652052    0    0     0     0 8171  576  1 50 49  0  0
 1  0      0 2277124  33836 652060    0    0     0     0  852  966  1 40 59  0  0
 2  0      0 2288416  33836 652076    0    0     0    64 1346 1312  2 59 39  0  0
11  0      0 2290056  33840 652092    0    0     0    68 1307 1251  1 56 43  0  0
 2  0      0 2277956  33844 652116    0    0     0    32 1455 1340  1 59 40  0  0
 2  0      0 2273576  33844 652128    0    0     0     4 1272 1262  2 57 41  0  0
 1  0      0 2288432  33844 652148    0    0     0     0 1493 1316  1 60 39  0  0
 2  0      0 2268664  33844 652168    0    0     0     0 4920  983  1 53 46  0  0
 4  0      0 2268664  33844 652176    0    0     0    80 9374  571  0 51 49  0  0
 4  0      0 2268664  33852 652176    0    0     0    28 9727  560  1 51 49  0  0
 3  0      0 2275044  33852 652180    0    0     0     0 3386  740  0 37 63  0  0
 5  0      0 2285448  33852 652192    0    0     0     8 1840 1245  2 59 38  0  0
 4  0      0 2270748  33852 652216    0    0     0     0 1423 1298  2 49 49  0  0
 3  0      0 2285132  33852 652232    0    0     0     0 1411 1259  1 59 41  0  0
 3  0      0 2288044  33860 652244    0    0     0    48 1306 1332  2 52 47  0  0
 5  0      0 2272740  33860 652272    0    0     0    92 1309 1295  1 54 45  0  0
 3  0      0 2284020  33860 652284    0    0     0     0 1433 1346  1 56 43  0  0
 3  0      0 2279244  33860 652308    0    0     0     4 4327 1028  1 57 42  0  0
 3  0      0 2279244  33860 652312    0    0     0     0 9444  559  1 51 49  0  0
 4  0      0 2279244  33868 652312    0    0     0    28 10067  560  0 51 49  0  0
