procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 2330000  33676 645820    0    0  7047   370 1151   13 14 17 68  2  0
 1  0      0 2330000  33684 645864    0    0     0    64  316  632  1  0 99  0  0
 1  0      0 2330000  33684 645864    0    0     0     0  453 1017  2  0 98  0  0
 1  0      0 2330000  33684 645864    0    0     0     4  200  335  0  0 100  0  0
 1  0      0 2330000  33684 645864    0    0     0     0  206  323  0  0 100  0  0
 2  0      0 2324544  33688 650324    0    0  4456     0 1361  693  1 26 73  1  0
 2  0      0 2322136  33696 651456    0    0  1116    24 2233  928  1 43 57  0  0
 2  0      0 2322136  33696 651476    0    0     0     0 2307 1015  0 41 59  0  0
 2  0      0 2321688  33704 651496    0    0     0    56 2254  978  1 39 60  1  0
 2  0      0 2320792  33704 651512    0    0     0     4 2702 1042  1 40 60  0  0
 2  0      0 2320344  33704 651528    0    0     0    80 2587 1043  1 40 59  0  0
 1  0      0 2318972  33704 651544    0    0     0     0 2474 1038  1 40 60  0  0
 2  0      0 2318972  33704 651560    0    0     0     0 2525 1112  1 41 58  0  0
 3  0      0 2317852  33712 651572    0    0     0    56 2392  952  1 45 54  0  0
 1  0      0 2317628  33712 651584    0    0     0     0 2437  954  1 43 56  0  0
 3  0      0 2315388  33712 651596    0    0     0     4 9030  715  1 52 47  0  0
 4  0      0 2315388  33712 651596    0    0     0    68 12865  549  0 51 49  0  0
 4  0      0 2315388  33712 651596    0    0     0     0 12680  537  0 51 49  0  0
 6  0      0 2315388  33712 651596    0    0     0     0 12124  553  0 51 49  0  0
 6  0      0 2315388  33720 651596    0    0     0   168 12123  558  0 51 49  0  0
 6  0      0 2315388  33720 651596    0    0     0     0 12417  485  1 56 44  0  0
 7  0      0 2315388  33720 651596    0    0     0     4 12046  528  1 51 49  0  0
10  0      0 2315388  33720 651596    0    0     0     0 11715  534  0 51 49  0  0
 8  0      0 2315388  33720 651596    0    0     0   120 11751  553  0 52 48  0  0
 8  0      0 2315388  33728 651596    0    0     0    28 11139  535  0 51 49  0  0
 3  0      0 2310908  33728 651596    0    0     0     0 11582  595  1 52 48  0  0
 2  0      0 2313696  33728 651612    0    0     0     0 1243 1232  2 65 34  0  0
 3  0      0 2292920  33728 651628    0    0     0     4  921  894  1 65 34  0  0
 3  0      0 2292920  33728 651628    0    0     0     0 8762  532  0 51 49  0  0
 4  0      0 2292920  33736 651628    0    0     0    32 10707  540  0 51 49  0  0
 5  0      0 2292668  33736 651628    0    0     0     0 12127  544  1 51 48  0  0
 4  0      0 2292668  33736 651632    0    0     0    36 12195  532  0 51 49  0  0
 4  0      0 2292668  33736 651632    0    0     0     0 11944  541  0 51 49  0  0
