procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 2303400  39684 656276    0    0  7795   365 1285   14 19 28 51  2  0
 1  0      0 2303148  39692 656372    0    0    32    60  328  754  2  1 97  0  0
 2  0      0 2303148  39692 656388    0    0     0   496  209  344  1  1 99  0  0
 1  0      0 2303148  39692 656388    0    0     0     0  161  324  0  0 100  0  0
 1  0      0 2303148  39692 656388    0    0     0    44  148  305  0  0 100  0  0
 3  0      0 2291360  39692 661984    0    0  5568     4 1122  836  1 36 63  1  0
 1  0      0 2283240  39700 661984    0    0     0    40 1075  895  1 29 70  0  0
 2  0      0 2274868  39700 662000    0    0     0     0 1147  866  1 36 63  0  0
 2  0      0 2266916  39700 662008    0    0     0    32 1111  859  1 38 61  0  0
 3  0      0 2286792  39700 662020    0    0     0     0 1197  977  1 37 63  0  0
 1  0      0 2280884  39700 662028    0    0     0  1176 1180  958  2 35 63  0  0
 1  0      0 2274052  39708 662036    0    0     0    56 1209  852  1 38 61  0  0
 2  0      0 2268144  39708 662044    0    0     0     0 1182  850  1 29 70  0  0
 2  0      0 2262472  39708 662044    0    0     0     0 1230  915  1 30 69  0  0
 1  0      0 2288972  39708 662048    0    0     0     0 1212  899  1 36 63  0  0
 5  0      0 2265816  39716 662068    0    0     0  1052 1467 1153  1 46 53  1  0
 3  0      0 2279336  39716 662076    0    0     0     0 1293  936  1 37 63  0  0
 2  0      0 2266708  39716 662080    0    0     0  1472 1383  919  1 45 55  0  0
 3  0      0 2288312  39716 662096    0    0     0     0 1274  907  2 36 62  0  0
 2  0      0 2276860  39716 662108    0    0     0    24 1186  916  1 31 68  0  0
 2  0      0 2287108  39724 662120    0    0     0   112 1249  895  1 36 63  0  0
 1  0      0 2278988  39724 662124    0    0     0     0 1234  880  2 36 63  0  0
 1  0      0 2267928  39724 662140    0    0     0     0 1259  924  0 35 65  0  0
 1  0      0 2254096  39724 662144    0    0     0     4 1255  949  1 47 53  0  0
 2  0      0 2266612  39724 662156    0    0     0     0 1145  890  1 42 58  0  0
 3  0      0 2271884  39732 662164    0    0     0    76 1196  954  1 35 63  0  0
 2  0      0 2253000  39732 662180    0    0     0     0 1086  863  1 32 68  0  0
 1  0      0 2269200  39732 662184    0    0     0     0 1288  988  1 38 61  0  0
 2  0      0 2252320  39732 662200    0    0     0     0 1317  899  0 35 65  0  0
 5  0      0 2267116  39732 662208    0    0     0     4 1210  916  2 35 64  0  0
 4  0      0 2275788  39740 662224    0    0     0    72 1212  922  1 39 60  0  0
 2  0      0 2273324  39740 662224    0    0     0     0 11085  487  1 50 50  0  0
 2  0      0 2266580  39740 662228    0    0     0     0 10982  243  0 78 22  0  0
 5  0      0 2266580  39740 662228    0    0     0     0 10588  402  0 51 49  0  0
 5  0      0 2266580  39740 662244    0    0     0     0 11031  470  1 51 49  0  0
 5  0      0 2266328  39748 662236    0    0     0    40 12169  447  1 51 48  0  0
 5  0      0 2266328  39748 662244    0    0     0     0 10453  409  0 51 49  0  0
 6  0      0 2266328  39748 662244    0    0     0    84 10583  408  0 52 48  0  0
 7  0      0 2266328  39748 662244    0    0     0     0 9943  416  0 51 49  0  0
 6  0      0 2266328  39748 662244    0    0     0     4 10200  440  1 51 49  0  0
 6  0      0 2266328  39756 662236    0    0     0   136 9343  422  1 51 48  0  0
 8  0      0 2266328  39756 662244    0    0     0     4 11665  420  0 51 49  0  0
15  0      0 2266328  39756 662244    0    0     0     0 15179  264  0 74 26  0  0
10  0      0 2266328  39756 662244    0    0     0     0 11805  408  0 51 49  0  0
11  0      0 2266328  39756 662244    0    0     0     0 12027  403  1 51 49  0  0
 9  0      0 2266328  39756 662244    0    0     0     0 11927  433  1 51 49  0  0
13  0      0 2266328  39764 662244    0    0     0    16 11496  422  1 50 48  0  0
13  0      0 2266328  39764 662244    0    0     0     0 11817  412  0 51 49  0  0
13  0      0 2266328  39764 662256    0    0     0     0 11418  414  1 51 49  0  0
13  0      0 2266328  39764 662256    0    0     0     0 12036  476  1 51 49  0  0
14  0      0 2266328  39764 662256    0    0     0     0 11796  393  1 51 49  0  0
12  0      0 2266328  39772 662256    0    0     0    12 12085  415  0 51 49  0  0
 8  0      0 2266328  39772 662256    0    0     0     8 12116  406  1 51 49  0  0
 9  0      0 2266328  39772 662256    0    0     0     0 11762  417  0 51 48  0  0
 7  0      0 2266328  39772 662256    0    0     0     0 11694  422  1 50 49  0  0
 9  0      0 2266328  39772 662256    0    0     0     0 12218  413  0 51 49  0  0
10  0      0 2266328  39780 662256    0    0     0    36 11864  413  1 50 49  0  0
 8  0      0 2266328  39780 662256    0    0     0     0 11814  410  1 50 49  0  0
 1  0      0 2266104  39780 662260    0    0     0     4 11548  465  1 49 50  0  0
 4  0      0 2264192  39780 662268    0    0     0     0 1107  925  1 40 59  0  0
 3  0      0 2259940  39788 662272    0    0     0   164 1037  890  1 40 59  0  0
 3  0      0 2278128  39788 662292    0    0     0     0 1167  913  1 38 61  0  0
 2  0      0 2252204  39788 662304    0    0     0     0 1111  887  2 38 61  0  0
 1  0      0 2261888  39788 662312    0    0     0     0 1098  880  1 33 66  0  0
 2  0      0 2262748  39788 662316    0    0     0    60 1023  901  1 38 61  0  0
11  0      0 2245220  39788 662332    0    0     0     0 1187  883  1 43 56  0  0
 4  0      0 2258284  39796 662344    0    0     0    24 1142  909  2 37 62  0  0
 6  0      0 2273228  39796 662356    0    0     0     0 1216  881  2 34 64  0  0
 2  0      0 2270088  39796 662356    0    0     0     0 10528  422  1 51 48  0  0
 4  0      0 2270088  39796 662356    0    0     0    44 11770  410  1 50 49  0  0
 6  0      0 2270088  39796 662356    0    0     0    12 11973  408  1 51 49  0  0
 6  0      0 2270088  39804 662356    0    0     0    84 10739  417  1 51 49  0  0
 4  0      0 2262668  39804 662360    0    0     0     0 6761  596  1 43 56  0  0
 3  0      0 2250436  39804 662372    0    0     0     0 1109  844  1 45 54  0  0
 4  0      0 2270392  39804 662376    0    0     0     0 5837  690  1 47 53  0  0
 5  0      0 2265912  39804 662376    0    0     0     0 10664  537  1 52 47  0  0
 4  0      0 2242084  39812 662388    0    0     0    20 1113  942  1 46 54  0  0
 2  0      0 2261484  39812 662396    0    0     0    44 1225 1010  1 52 47  0  0
 1  0      0 2245468  39812 662408    0    0     0     0 1093  923  2 35 64  0  0
 2  0      0 2250816  39812 662412    0    0     0     0 3625  864  2 47 51  0  0
 3  0      0 2250816  39812 662416    0    0     0     0 12116  451  0 51 49  0  0
 4  0      0 2250816  39820 662408    0    0     0    28 11914  461  1 50 49  0  0
 4  0      0 2249024  39820 662416    0    0     0    28 11740  469  0 51 49  0  0
 3  0      0 2244520  39820 662416    0    0     0     0 12107  335  1 67 32  0  0
 4  0      0 2244520  39820 662416    0    0     0     0 12038  443  0 51 49  0  0
 5  0      0 2244520  39820 662416    0    0     0     4 11956  448  1 51 49  0  0
 6  0      0 2244520  39820 662416    0    0     0     0 12375  444  0 51 49  0  0
 5  0      0 2244520  39828 662416    0    0     0    24 11984  455  0 51 49  0  0
 5  0      0 2244520  39828 662416    0    0     0     8 11710  442  1 52 47  0  0
 6  0      0 2244520  39828 662416    0    0     0     0 11548  451  1 51 49  0  0
 6  0      0 2244520  39828 662416    0    0     0     0 11787  460  1 51 48  0  0
 7  0      0 2244520  39828 662416    0    0     0     0 12044  448  1 51 49  0  0
 8  0      0 2244520  39836 662420    0    0     0    28 11500  457  1 51 49  0  0
