procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 2319544  33720 646216    0    0     0     0  397  472  0  2 98  0  0
 1  0      0 2319544  33720 646216    0    0     0     0  363  487  1  2 98  0  0
 1  0      0 2319320  33728 646216    0    0     0    36  374  498  0  1 99  0  0
 1  0      0 2319320  33728 646216    0    0     0     0  440  486  1  3 96  0  0
 1  0      0 2319320  33728 646220    0    0     0     8  432  502  0  2 97  1  0
 1  0      0 2319320  33728 646220    0    0     0     0  446  491  0  3 97  0  0
 1  0      0 2319320  33728 646220    0    0     0   100  431  494  0  3 97  0  0
 2  0      0 2319320  33736 646220    0    0     0    32  342  497  1  1 99  0  0
 1  0      0 2319320  33736 646220    0    0     0     4  410  481  0  2 98  0  0
 1  0      0 2319320  33736 646220    0    0     0     0  390  475  1  2 98  0  0
 1  0      0 2319320  33736 646220    0    0     0     4  398  475  0  2 98  0  0
 1  0      0 2319320  33736 646220    0    0     0     0  394  482  0  2 98  0  0
 1  0      0 2319320  33744 646220    0    0     0    16  447  531  1  3 96  0  0
 1  0      0 2319320  33744 646220    0    0     0     0  443  495  0  3 97  0  0
 1  0      0 2319320  33744 646224    0    0     0     4  426  479  0  3 97  0  0
 1  0      0 2317976  33744 646224    0    0     0     8  377  511  0  2 98  0  0
 1  0      0 2317976  33744 646224    0    0     0     4  406  477  0  3 97  0  0
 1  0      0 2317976  33752 646224    0    0     0    56  432  510  0  3 97  0  0
 1  0      0 2317976  33752 646224    0    0     0     0  319  461  1  1 98  0  0
 1  0      0 2317976  33752 646224    0    0     0     4  349  465  1  1 98  0  0
 2  0      0 2317976  33752 646224    0    0     0     4  437  480  0  2 98  0  0
 2  0      0 2317976  33752 646224    0    0     0     0  424  486  0  3 97  0  0
 1  0      0 2317976  33760 646224    0    0     0    16  422  509  1  2 97  0  0
 1  0      0 2317976  33760 646224    0    0     0     0  375  500  0  2 98  0  0
 1  0      0 2317976  33760 646244    0    0     0     0  416  550  1  2 98  0  0
 1  0      0 2317976  33760 646244    0    0     0     4  368  479  0  2 98  0  0
 1  0      0 2317976  33760 646244    0    0     0     8  358  480  0  1 99  0  0
 1  0      0 2317976  33768 646244    0    0     0    28  372  491  0  2 98  0  0
 1  0      0 2317976  33768 646244    0    0     0     0  315  447  0  1 99  0  0
 1  0      0 2317976  33768 646248    0    0     0     0  357  474  0  2 98  0  0
 1  0      0 2317976  33768 646248    0    0     0     0  310  446  1  2 98  0  0
 1  0      0 2317976  33768 646248    0    0     0    12  422  495  1  3 97  0  0
 3  0      0 2317976  33776 646248    0    0     0    24  346  477  0  1 99  0  0
 2  0      0 2317976  33776 646252    0    0     0     0  394  487  0  3 97  0  0
 1  0      0 2317976  33776 646252    0    0     0     0  307  456  1  1 98  0  0
 1  0      0 2317976  33776 646252    0    0     0     0  515  510  0  4 96  0  0
 1  0      0 2317976  33776 646252    0    0     0     0  371  471  0  2 98  0  0
 1  0      0 2316996  33784 646252    0    0     0    28  427  626  1  3 96  0  0
 1  0      0 2316996  33784 646252    0    0     0     0  311  455  1  1 98  0  0
 2  0      0 2316996  33784 646252    0    0     0     0  405  479  0  2 98  0  0
 1  0      0 2316996  33784 646252    0    0     0     0  407  462  0  3 97  0  0
 2  0      0 2316996  33784 646252    0    0     0     0  403  502  1  3 97  0  0
 2  0      0 2316996  33792 646256    0    0     0   256  446  533  1  2 97  0  0
 2  0      0 2316996  33792 646260    0    0     0     4  361  473  0  2 98  0  0
 1  0      0 2316996  33792 646260    0    0     0     0  427  482  0  3 97  0  0
 2  0      0 2316996  33792 646260    0    0     0     0  335  463  0  0 100  0  0
 1  0      0 2316996  33792 646260    0    0     0     0  300  446  1  1 99  0  0
 1  0      0 2316996  33800 646260    0    0     0    24  365  492  0  1 99  0  0
 1  0      0 2316100  33800 646260    0    0     0     0  394  476  0  3 97  0  0
 1  0      0 2316100  33800 646260    0    0     0     4  349  464  0  1 99  0  0
 2  0      0 2316100  33800 646260    0    0     0     0  410  464  0  2 98  0  0
 1  0      0 2316100  33800 646260    0    0     0     0  329  462  1  2 97  0  0
 1  0      0 2316100  33808 646260    0    0     0    80  498  505  0  5 95  0  0
 1  0      0 2316100  33808 646264    0    0     0     8  351  484  0  2 98  0  0
 1  0      0 2316100  33808 646264    0    0     0     0  335  447  0  1 99  0  0
 1  0      0 2316100  33808 646264    0    0     0     4  335  481  0  1 99  0  0
 1  0      0 2316100  33808 646264    0    0     0     0  386  463  1  3 97  0  0
