procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 2266848  33796 654248    0    0     0     4 1225 1064  1 57 42  0  0
 2  0      0 2284620  33804 654260    0    0     0    32 1182 1011  2 62 37  0  0
 2  0      0 2274988  33804 654264    0    0     0    72 4442  642  1 56 43  0  0
 4  0      0 2274988  33804 654264    0    0     0     0 9242  473  0 51 49  0  0
 4  0      0 2274988  33804 654284    0    0     0     0 9772  442  0 51 49  0  0
 6  0      0 2274988  33804 654284    0    0     0     0 9483  461  0 51 49  0  0
 3  0      0 2287784  33812 654292    0    0     0   100 4602  589  1 34 66  0  0
 1  0      0 2279312  33812 654300    0    0     0     0 1417 1112  1 44 55  0  0
 3  0      0 2286268  33812 654320    0    0     0     4 1339 1071  1 51 48  0  0
 1  0      0 2281444  33812 654336    0    0     0     0 1264 1071  1 48 51  0  0
 1  0      0 2284328  33812 654344    0    0     0     0 1304 1106  1 52 47  0  0
 1  0      0 2269424  33820 654360    0    0     0    92 1330 1148  2 49 49  0  0
 1  0      0 2257692  33820 654376    0    0     0     4 1286 1104  1 52 47  0  0
 4  0      0 2252988  33820 654396    0    0     0     0 1289 1132  1 45 54  0  0
 2  0      0 2277052  33820 654412    0    0     0     0 1294 1126  1 54 45  0  0
 1  0      0 2278092  33820 654428    0    0     0     0 1365 1112  1 59 40  0  0
 2  0      0 2259776  33828 654448    0    0     0   108 1364 1161  1 52 47  0  0
 4  0      0 2257204  33828 654464    0    0     0     0 1353 1063  1 49 50  0  0
 3  0      0 2264880  33828 654472    0    0     0   132 1292 1133  1 49 51  0  0
 1  0      0 2256296  33828 654492    0    0     0     0 1212 1129  1 47 52  0  0
 1  0      0 2258388  33828 654508    0    0     0     0 1325 1102  2 53 46  0  0
 3  0      0 2243524  33836 654520    0    0     0   112 6531  756  0 53 47  0  0
 3  0      0 2243524  33836 654520    0    0     0     0 9601  451  1 50 49  0  0
 3  0      0 2243524  33836 654520    0    0     0     0 10314  449  0 51 49  0  0
 2  0      0 2259304  33836 654520    0    0     0     8 2443  674  1 26 73  0  0
 4  0      0 2246148  33836 654540    0    0     0     0 1343 1126  1 51 48  0  0
 1  0      0 2247308  33844 654552    0    0     0    40 1343 1124  2 49 49  0  0
 1  0      0 2241340  33844 654568    0    0     0     0 1255 1108  1 49 51  0  0
