T;Allocated Heap
27480;6715392
27540;7059528
27600;6697792
27660;7825096
27720;7417112
27780;7238240
27840;6923456
27900;7369952
27960;6764864
28020;6780288
28080;3845064
28140;6706864
28200;6921592
28260;6692904
28320;6794160
28380;6592264
28440;8251616
28500;7169864
28560;8066712
28620;7573088
28680;7463392
28740;7335880
28800;7395912
28860;7218320
28920;6395128
28980;6584816
29040;7600328
29100;7823136
29160;7440776
29220;6339848
29280;7282816
29340;6891440
29400;7041760
29460;8364768
29520;7033448
29580;6715080
29640;7117632
29700;6530200
29760;6919872
29820;7652280
29880;7054376
29940;7752936
30000;7224776
30060;6926888
30120;6617920
30180;6607424
30240;4068056
30300;7571224
30360;7046840
30420;6667008
30480;6759200
30540;7081088
30600;7297168
30660;6518608
30720;6363736
30780;7723480
30840;7676880
30900;7017456
30960;6562280
31020;6086744
31080;6511088
31140;7532680
31200;7102496
31260;7460048
31320;4278024
31380;7136888
31440;7475472
31500;8216504
31560;6800232
31620;6935512
31680;7458304
31740;7632272
31800;7763624
31860;7160392
31920;7771664
31980;6202408
32040;7663200
32100;7035112
32160;7548336
32220;6615248
32280;6939928
32340;7358264
32400;6631664
32460;6167888
32520;6595832
32580;6475256
32640;6741288
32700;4254608
32760;4772888
32820;7514424
32880;6868280
32940;7363560
33000;7492360
33060;7441440
33120;7505920
33180;6695056
33240;5203592
33300;7270936
33360;3956784
33420;7021272
33480;7239152
33540;7066280
33600;7599880
33660;7274560
33720;7575376
33780;7801960
33840;7634128
33900;6502992
33960;7615368
34020;6183424
34080;7887664
34140;6781888
34200;7426184
34260;8307264
34320;7222056
34380;7075760
34440;4126640
34500;7710432
34560;4535520
34620;7246496
34680;6474416
34740;7082184
34800;7097056
34860;7070224
34920;6442776
34980;7762256
35040;6487224
35100;4503672
35160;8056840
35220;7306112
35280;6753152
35340;4125432
35400;6182520
35460;7378840
35520;6773176
35580;5773672
35640;7717920
35700;7484552
35760;7588472
35820;8388952
35880;6763888
35940;6553184
36000;7806464
36060;7761296
36120;7142120
36180;7138296
36240;7433416
36300;7177912
36360;7484824
36420;7400296
36480;6891064
36540;7219832
36600;7574688
36660;6369760
36720;6958648
36780;4712056
36840;7253368
36900;6601656
36960;7018944
37020;6641536
37080;6867336
37140;6416288
37200;6693312
37260;7467040
37320;4055824
37380;7429144
37440;6459584
37500;7397288
37560;7993944
37620;6531552
37680;7313304
37740;7225584
37800;6855024
37860;4393112
37920;6840040
37980;7174632
38040;6964104
38100;6798064
38160;7228880
38220;6209312
38280;7032272
38340;6775792
38400;6584688
38460;6340016
38520;6945800
38580;6970224
38640;7337496
38700;6859496
38760;4463928
38820;6799200
38880;6507504
38940;8091776
39000;7170088
39060;6996176
39120;6153568
39180;6410656
39240;6864704
39300;7136528
39360;7212312
39420;6828048
39480;7262944
39540;7040976
39600;7825864
39660;7134264
39720;8197816
39780;7054488
39840;7019744
39900;7616736
39960;7047160
40020;7278088
40080;7086720
40140;6526192
40200;7153456
40260;7224152
40320;7916448
40380;7795376
40440;7344456
40500;7817688
40560;6935136
40620;7159672
40680;7013192
40740;6930448
40800;7889968
40860;7184352
40920;7423056
40980;6523392
41040;7431000
41100;6743960
41160;6591280
41220;7166800
41280;6295264
41340;8415352
41400;5984064
41460;6797224
41520;7324304
41580;7751024
41640;7371728
41700;7464920
41760;6789696
41820;6560040
41880;7257080
41940;6649816
42000;8651744
42060;6519696
42120;7333448
42180;7616584
42240;7722304
42300;7732344
42360;7051960
42420;7706136
42480;6891104
42540;7937112
42600;7236184
42660;6869512
42720;7137664
42780;7466752
42840;6909552
42900;7194776
42960;6947496
43020;8018824
43080;7654128
43140;7066184
43200;6967120
43260;7178160
43320;6536176
43380;8411272
43440;7542272
43500;6627344
43560;7021512
43620;7041368
43680;7451880
43740;8089768
43800;7315480
43860;6554136
43920;6768936
43980;8579984
44040;6485920
44100;7215768
44160;7023176
44220;7732056
44280;7379728
44340;7219144
44400;7739864
44460;6452304
44520;7572544
44580;7367544
44640;7294208
44700;8581376
44760;7402088
44820;7332192
44880;7074720
44940;6269328
45000;6439832
45060;6654208
45120;6787512
45180;6839528
45240;7620216
45300;6754464
45360;8427248
45420;5829320
45480;6423112
45540;7449136
45600;7734904
45660;7097440
45720;6580416
45780;6974480
45840;7694576
45900;7385168
45960;6258912
46020;6695240
46080;6372944
46140;6449112
46200;6578104
46260;7943192
46320;6287520
46380;6837520
46440;7093464
46500;7043560
46560;7020456
46620;7670584
46680;6984760
46740;7293064
46800;6992856
46860;7245064
46920;8573912
46980;6660864
47040;7074208
47100;7261936
47160;7716912
47220;6861400
47280;7184776
47340;7319024
47400;4002784
47460;6267976
47520;7814104
47580;6473488
47640;6748648
47700;6318152
47760;6646392
47820;7414584
47880;6514224
47940;6672816
48000;6932056
48060;6433344
48120;8622528
48180;6744312
48240;8230256
48300;7147192
48360;7482560
48420;7370184
48480;6695504
48540;6834592
48600;6935840
48660;7137856
48720;6100712
48780;6580928
48840;7008488
48900;8154944
48960;6630064
49020;7351768
49080;6752200
49140;6147824
49200;7929696
49260;7113696
49320;6804864
49380;7340568
49440;6761624
49500;6840408
49560;6447064
49620;6624704
49680;7114968
49740;7261488
49800;8275432
49860;6503376
49920;7505256
49980;7080432
50040;7285288
50100;6988976
50160;6877832
50220;6918520
50280;6176688
50340;7815824
50400;7275304
50460;6594624
50520;6973352
50580;6491624
50640;7240656
50700;8325496
50760;6922304
50820;6688896
50880;7640640
50940;6703128
51000;6935464
51060;6985600
51120;7359024
51180;7290896
51240;6654200
51300;7188872
51360;7215248
51420;8042480
51480;6514536
51540;7610008
51600;7202600
51660;7779400
51720;7353440
51780;6525752
51840;8079560
51900;6319400
51960;6401656
52020;7409968
52080;6340200
52140;7140280
52200;6625448
52260;6871224
52320;8567040
52380;7119440
52440;7906048
52500;6727224
52560;7221280
52620;7211760
52680;6502240
52740;7352208
52800;7326088
52860;6480040
52920;7415848
52980;8595976
53040;8543352
53100;6864864
53160;7173232
53220;8068320
53280;8726848
53340;6875776
53400;6847928
53460;8079632
53520;6155400
53580;5917336
53640;6488904
53700;8038896
53760;7257368
53820;7723808
53880;6904016
53940;7578424
54000;6399536
54060;7105736
54120;7604240
54180;6163792
54240;5090800
54300;6465104
54360;6981448
54420;8018336
54480;6993128
54540;4410512
54600;6647760
54660;7466696
54720;6817000
54780;7598872
54840;6788136
54900;7176376
54960;6690960
55020;6509720
55080;7747064
55140;6392256
55200;7133352
55260;8776768
55320;7180576
55380;6730040
55440;6171208
55500;6739320
55560;6716088
55620;7058832
55680;6673704
55740;7408856
55800;6772048
55860;7251104
55920;6924968
55980;8083336
56040;8016664
56100;7207096
56160;6733192
56220;7403944
56280;7798264
56340;7428008
56400;6902288
56460;6791312
56520;6531600
56580;6923624
56640;7987984
56700;7434160
56760;5989992
56820;6807928
56880;6927624
56940;6513696
57000;7083112
57060;6864400
57120;7323088
57180;6469088
57240;7117232
57300;7750016
57360;8443448
57420;7766304
57480;7325792
57540;7515360
57600;6456424
57660;5877952
57720;6990888
57780;8174312
57840;6462960
57900;7399432
57960;6994128
58020;7309328
58080;6213952
58140;6391208
58200;8298672
58260;7116304
58320;7561512
58380;4005768
58440;7153888
58500;6832288
58560;6923808
58620;6989296
58680;7659968
58740;7238216
58800;8633048
58860;7361256
58920;7601576
58980;6606008
59040;6608136
59100;6086744
59160;6248104
59220;7722520
59280;6548472
59340;6944472
59400;7471984
59460;7190808
59520;6647360
59580;6132520
59640;6422376
59700;7185728
59760;7208864
59820;7365752
59880;7732736
59940;6504944
60000;6794544
60060;6846120
60120;7611680
60180;7060328
60240;6335040
60300;6961848
60360;6942840
60420;7130656
60480;7914392
60540;6855760
60600;5821520
60660;8520304
60720;7442272
60780;6752976
60840;7692288
60900;7340144
60960;7804288
61020;7130216
61080;7168872
61140;7379240
61200;7370480
61260;7497408
61320;6934928
61380;7442768
61440;6472176
61500;7129880
61560;7398176
61620;6217680
61680;7211000
61740;6627552
61800;7200216
61860;5991536
61920;6845768
61980;6682056
62040;6462120
62100;6690776
62160;6910472
62220;6539928
62280;7305704
62340;7064616
62400;6077488
62460;7438376
62520;6773176
62580;6843272
62640;7594896
62700;7020160
62760;6620448
62820;7038936
62880;6787248
62940;7007112
63000;7104856
63060;6883512
63120;6286464
63180;6407184
63240;6743840
63300;7852912
63360;7263712
63420;7820264
63480;7698040
63540;7251208
63600;6279008
63660;6214808
63720;6411520
63780;7120656
63840;7439568
63900;8100344
63960;6715128
64020;7078656
64080;7458976
64140;6254576
64200;4238704
64260;6870488
64320;6706944
64380;7167752
64440;6941824
64500;7097048
64560;7225952
64620;6903488
64680;6700952
64740;6718832
64800;6315920
64860;7257368
64920;6208928
64980;6599632
65040;7365168
65100;7405976
65160;6755040
65220;6641456
65280;8048776
65340;6786656
65400;7034280
65460;7165920
65520;6403248
65580;6535992
65640;7037320
65700;4225672
65760;7390008
65820;7412912
65880;6680728
65940;7091928
66000;6610192
66060;6753448
66120;6459512
66180;7488416
66240;5813432
66300;7658104
66360;6315968
66420;7173808
66480;6241824
66540;6740672
66600;7022528
66660;6848296
66720;6928256
66780;5975784
66840;7239696
66900;7197408
66960;7291016
67020;7225320
67080;6400024
67140;7361688
67200;6898240
67260;6344464
67320;6991152
67380;6711272
67440;7557064
67500;7144160
67560;6804640
67620;7123280
67680;6725600
67740;7454416
67800;6063888
67860;6538624
67920;7138384
67980;6744344
68040;6789160
68100;6590640
68160;8098696
68220;7033768
68280;6809160
68340;6876192
68400;8153536
68460;6962368
68520;7332448
68580;6327992
68640;6816584
68700;6809648
68760;6512368
68820;6754048
68880;7659512
68940;7606936
69000;7495416
69060;7319624
69120;6146256
69180;6978840
69240;5892720
69300;7275768
69360;6432336
69420;6508120
69480;6599248
69540;7733600
69600;7329408
69660;6327560
69720;6596152
69780;7482512
69840;7203760
69900;6909480
69960;7366392
70020;6649216
70080;6778664
70140;7554672
70200;7130576
70260;6667928
70320;6058696
70380;7250896
70440;7203824
70500;5901472
70560;7739456
70620;6592320
70680;6303720
70740;6682552
70800;6124928
70860;7459752
70920;7431680
70980;6717368
71040;6652464
71100;6769560
71160;6346408
71220;6257160
71280;7270200
71340;7281344
71400;6399200
71460;6202192
71520;6790312
71580;7344696
71640;6792592
71700;6893688
71760;7035808
71820;6859520
71880;7110872
71940;7033640
72000;4288488
72060;7140144
72120;6065376
72180;5818600
72240;7389768
72300;8338168
72360;7697144
72420;6882088
72480;6406312
72540;7299576
72600;6053016
72660;6646648
72720;6376464
72780;7548360
72840;6326520
72900;6548776
72960;7171496
73020;7229840
73080;5914240
73140;3977632
73200;7435696
73260;6302680
73320;6478912
73380;6664088
73440;7705592
73500;7722656
73560;6857368
73620;6752744
73680;6812000
73740;7102392
73800;5865896
73860;6438568
73920;6914584
73980;6628080
74040;6726176
74100;7119032
74160;7399736
74220;7004200
74280;7382928
74340;8059224
74400;6218672
74460;6828928
74520;6721328
74580;6895104
74640;6877448
74700;5812568
74760;6779272
74820;7660304
74880;6975440
74940;6900592
75000;7608032
75060;6924576
75120;7100552
75180;6384808
75240;6217048
75300;6788392
75360;5968872
75420;6998760
75480;6868920
75540;6922280
75600;6833256
75660;7577704
75720;7140712
75780;8368040
75840;6974384
75900;7132968
75960;5754608
76020;6897112
76080;7009496
76140;6954344
76200;5903272
76260;6656064
76320;5817040
76380;7966656
76440;5965448
76500;6778576
76560;7908584
76620;6822912
76680;7420528
76740;6917448
76800;6842672
76860;6709920
76920;6468544
76980;6533104
77040;6725264
77100;5974568
77160;6879256
77220;6761968
77280;6539544
77340;6178736
77400;6296928
77460;6812736
77520;8187072
77580;7087504
77640;6398864
77700;6653624
77760;5965872
77820;7314200
77880;7284400
77940;6254120
78000;6160488
78060;7080904
78120;6853552
78180;6668624
78240;5965312
78300;7369928
78360;7538144
78420;7951080
78480;6852248
78540;6656056
78600;6892032
78660;7573200
78720;7558784
78780;8387064
78840;6456632
78900;6757016
78960;7221440
79020;7437016
79080;6588232
79140;6227296
79200;6885376
79260;7074552
79320;6164616
79380;6441176
79440;7706632
79500;6155520
79560;5923360
79620;7390952
79680;6691424
79740;6391536
79800;7236384
79860;6040096
79920;6289752
79980;6858656
80040;5503896
80100;6636560
80160;6728600
80220;6407416
80280;6262048
80340;6884160
80400;6687536
80460;6470384
80520;7720808
80580;7727616
80640;5659104
80700;6962872
80760;5877080
80820;5927104
80880;6443960
80940;6447984
81000;5996448
81060;5977680
81120;7135648
81180;6563520
81240;6447240
81300;6168280
81360;6876376
81420;6193584
81480;7318192
81540;5633560
81600;7113536
81660;7190784
81720;6580776
81780;6737616
81840;7096384
81900;6576896
81960;6809296
82020;7289784
82080;7548384
82140;7134296
82200;7198528
82260;3817992
82320;7633240
82380;7145608
82440;6667584
82500;6481224
82560;6964208
82620;7376120
82680;7538064
82740;6821576
82800;6663496
82860;6233336
82920;5285728
82980;7619008
83040;5938184
83100;6432464
83160;7521456
83220;6759224
83280;6608456
83340;6523400
83400;6160288
83460;8096376
83520;6876320
83580;6564608
83640;3993192
83700;7422320
83760;6501592
83820;6998784
83880;5781328
83940;6787344
84000;6814688
84060;6812368
84120;6512264
84180;6219128
84240;6368200
84300;6579464
84360;6465344
84420;6693568
84480;7125464
84540;7032272
84600;7203728
84660;7195640
84720;7524408
84780;6732160
84840;6148200
84900;6755824
84960;6863968
85020;7529488
85080;7967384
85140;6750688
85200;6974344
85260;6710488
85320;7114776
85380;6218792
85440;6673792
85500;6345976
85560;7039312
85620;6437232
85680;6412760
85740;6003416
85800;7929928
85860;7028824
85920;7024792
85980;8104496
86040;6906560
86100;6133752
86160;7149768
86220;6639800
86280;6963800
86340;6327704
86400;7442144
86460;7304200
86520;6978720
86580;7576856
86640;6766952
86700;7281728
86760;5677096
86820;7670344
86880;6387992
86940;5993072
87000;6900584
87060;6187040
87120;6960280
87180;6743968
87240;6140040
87300;7096520
87360;6778480
87420;6155552
87480;6949456
87540;6400952
87600;7120656
87660;6632176
87720;8106936
87780;6402080
87840;7261736
87900;6638040
87960;7170752
88020;6363096
88080;6390008
88140;7277512
88200;7757456
88260;6837784
88320;7285024
88380;6858256
88440;6753248
88500;7195136
88560;7173240
88620;7736888
88680;6825848
88740;6864528
88800;8042168
88860;6618488
88920;6390440
88980;6653904
89040;6999160
89100;6198232
89160;5767728
89220;6563296
89280;7833512
89340;8182136
89400;6448576
89460;7275792
89520;6828056
89580;6407544
89640;7177768
89700;6258776
89760;6444616
89820;5959160
89880;6378592
89940;5893536
90000;6815560
90060;6235024
90120;6732848
90180;6855176
90240;6277048
90300;5934400
90360;7058208
90420;6737528
90480;6572552
90540;6191904
90600;6707712
90660;6552432
90720;7515376
90780;6384944
90840;6186808
90900;7174000
90960;5833152
91020;6009400
91080;7472984
91140;7067408
91200;6769856
91260;6310176
91320;7413648
91380;6353128
91440;6215568
91500;6142160
91560;6410792
91620;6567384
91680;6623992
91740;7731696
91800;6001944
91860;6601392
91920;6618032
91980;6787864
92040;6765272
92100;5991136
92160;7820000
92220;7152576
92280;8088768
92340;6771560
92400;6777384
92460;6526560
92520;6017344
92580;7013504
92640;5943496
92700;6154088
92760;6277384
92820;7258600
92880;6524440
92940;8266656
93000;7172424
93060;6504816
93120;6832672
93180;7275608
93240;7167576
93300;7066776
93360;6302864
93420;5994888
93480;5632144
93540;6698952
93600;6873072
93660;6756552
93720;7922344
93780;7082632
93840;6822224
93900;6552728
93960;7253328
94020;6948304
94080;6688856
94140;7232488
94200;6732560
94260;4013808
94320;6425600
94380;7526480
94440;7946072
94500;6746384
94560;7798696
94620;6825240
94680;6627968
94740;6440128
94800;5878280
94860;7090592
94920;6438104
94980;6824288
95040;5798864
95100;6435096
95160;6976928
95220;6198624
95280;6329448
95340;5275848
95400;7347560
95460;7602792
95520;6348944
95580;7128936
95640;5925704
95700;7842552
95760;5865312
95820;6465040
95880;6453296
95940;5998208
96000;7065168
96060;6069216
96120;6330952
96180;7384840
96240;5992096
96300;6032856
96360;6077480
96420;6327008
96480;6432256
96540;6466120
96600;6677088
96660;6903056
96720;6489128
96780;6604184
96840;6056904
96900;6103168
96960;7208056
97020;6637760
97080;6878464
97140;7570744
97200;6371928
97260;8263440
