T;allocated heap
27480;6624352
27540;7598088
27600;6294592
27660;6611536
27720;5751872
27780;6952288
27840;6088328
27900;4492544
27960;5455216
28020;5827352
28080;5772944
28140;5971016
28200;5546968
28260;5464264
28320;5438080
28380;5287464
28440;6314640
28500;5642848
28560;5354456
28620;7320336
28680;6444200
28740;5772416
28800;6557752
28860;5630552
28920;5647960
28980;8066368
29040;5976704
29100;5591792
29160;6536568
29220;5784128
29280;6091728
29340;5687040
29400;5186592
29460;5797184
29520;8894208
29580;6669096
29640;4371616
29700;5890488
29760;5925232
29820;5855384
29880;6837720
29940;6692960
30000;5354400
30060;5214464
30120;7382120
30180;5716912
30240;6072464
30300;5861216
30360;6335800
30420;6100744
30480;5667192
30540;5382736
30600;5210568
30660;6316368
30720;6138232
30780;6056464
30840;5359664
30900;6034312
30960;6733552
31020;5779232
31080;5417312
31140;6965248
31200;4966120
31260;5514416
31320;6134624
31380;5666576
31440;5557952
31500;4713784
31560;4977896
31620;5274728
31680;5000736
31740;5418704
31800;6045008
31860;5693984
31920;5826832
31980;5345256
32040;5631728
32100;6085832
32160;6767856
32220;5710096
32280;5728200
32340;5525592
32400;5866040
32460;5455616
32520;5726552
32580;6046192
32640;4572816
32700;6150256
32760;5589184
32820;4954952
32880;5822800
32940;5606232
33000;5716448
33060;5240016
33120;5589240
33180;5305584
33240;5530560
33300;5139800
33360;5852080
33420;5640688
33480;5960328
33540;5626696
33600;6183128
33660;5929624
33720;5766440
33780;4721984
33840;5327488
33900;5799416
33960;5082584
34020;5606776
34080;6013048
34140;5236336
34200;6102368
34260;6652288
34320;6308288
34380;6273000
34440;5661912
34500;6045224
34560;5565888
34620;6176848
34680;6558944
34740;5312784
34800;6157192
34860;5572128
34920;6981136
34980;6080376
35040;5881448
35100;6297328
35160;6022896
35220;5402184
35280;5965104
35340;5677512
35400;5952024
35460;6012648
35520;5844176
35580;5621552
35640;6024496
35700;5189616
35760;5604776
35820;6102656
35880;5686296
35940;6065104
36000;5022752
36060;5971600
36120;5953984
36180;4744256
36240;6103856
36300;5482976
36360;5595896
36420;6567064
36480;5502096
36540;5132304
36600;5821248
36660;4874728
36720;5031384
36780;5317968
36840;4697600
36900;5768208
36960;5916232
37020;5562136
37080;5276984
37140;5841368
37200;5696584
