TIME;LIN2_VmSize;LIN2_VmData;LIN2_RSS;LIN2_byte_letti__sec;LIN2_byte_scritti__sec;;;;;;
14400;735284;666908;44092;83432483;64942518;;;;;;
14520;735284;666908;44104;83614767;67201668;;;;;;
14640;735284;666908;44104;76427649;64128786;;;;;;
14760;735284;666908;44104;88299046;66769939;;;;;;
14880;735284;666908;43524;89224265;67183738;;;;;;
15000;735284;666908;43524;87118696;64302176;;;;;;
15120;735284;666908;43524;88805802;65987944;;;;;;
15240;735284;666908;43524;85786190;67649223;;;;;;
15360;735284;666908;43524;82917632;63438307;;;;;;
15480;735284;666908;43524;79478915;62077303;;;;;;
15600;735284;666908;43524;82352680;60296754;;;;;;
15720;735284;666908;43524;83650081;66704405;;;;;;
15840;735284;666908;43524;82423026;67258544;;;;;;
15960;735284;666908;43524;78373363;65723762;;;;;;
16080;735284;666908;43524;78691830;61747750;;;;;;
16200;735284;666908;43524;76207679;62186999;;;;;;
16320;735284;666908;43368;83821198;66016188;;;;;;
16440;735284;666908;43368;84226270;66830749;;;;;;
16560;735284;666908;43368;80614940;66170989;;;;;;
16680;735284;666908;43368;79207613;61622591;;;;;;
16800;735284;666908;43368;84082260;66392377;;;;;;
16920;735284;666908;43368;84476091;64616729;;;;;;
17040;735284;666908;43368;89394033;67018571;;;;;;
17160;735284;666908;43368;85456658;67751667;;;;;;
17280;735284;666908;43368;81838112;67858488;;;;;;
17400;735284;666908;43368;80263570;65439629;;;;;;
17520;735284;666908;43368;83201547;64126484;;;;;;
17640;735284;666908;43368;81311621;63671406;;;;;;
17760;735284;666908;43368;77755918;62888355;;;;;;
17880;735284;666908;43368;78399247;64491608;;;;;;
18000;735284;666908;43368;80971369;65359565;;;;;;
18120;735284;666908;43368;78736466;66323097;;;;;;
18240;735284;666908;43368;90584261;61116862;;;;;;
18360;735284;666908;43368;81240029;66413305;;;;;;
18480;735284;666908;43368;84244130;64914940;;;;;;
18600;735284;666908;43368;83420004;64347135;;;;;;
18720;735284;666908;43368;79668781;64309344;;;;;;
18840;735284;666908;43368;80595850;66638364;;;;;;
18960;735284;666908;43368;85815501;65230525;;;;;;
19080;735284;666908;43368;81049798;67137722;;;;;;
19200;735284;666908;43368;83262540;63159259;;;;;;
19320;735284;666908;43368;87661514;67609069;;;;;;
19440;735284;666908;43368;77313746;63906658;;;;;;
19560;735284;666908;43368;81874799;66775588;;;;;;
19680;735284;666908;43368;83587518;63296964;;;;;;
19800;735284;666908;43368;80617126;62827463;;;;;;
19920;735284;666908;43368;89691929;69285784;;;;;;
20040;735284;666908;43368;81046529;62775658;;;;;;
20160;735284;666908;43368;85910995;70040728;;;;;;
20280;735284;666908;43368;76065496;58006070;;;;;;
20400;735284;666908;43368;78750734;64003510;;;;;;
20520;735284;666908;43368;85082868;67422057;;;;;;
20640;735284;666908;43368;81312675;66466522;;;;;;
20760;735284;666908;43368;81885179;68660926;;;;;;
20880;735284;666908;43368;88571741;69845907;;;;;;
21000;735284;666908;43368;77697241;63703253;;;;;;
21120;735284;666908;43368;80036130;64710079;;;;;;
21240;735284;666908;43368;81509659;62362904;;;;;;
21360;735284;666908;43368;77569653;63329766;;;;;;
21480;735284;666908;43368;85453705;66471129;;;;;;
21600;735284;666908;42972;83896706;68243025;;;;;;
21720;735284;666908;42972;84021368;64912700;;;;;;
21840;735284;666908;42972;87283448;66645651;;;;;;
21960;735284;666908;42972;86501085;64523029;;;;;;
22080;735284;666908;42972;75393824;61722692;;;;;;
