procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 2295880  39740 661220    0    0  9676   485 1593   17 21 27 50  2  0
 1  0      0 2295880  39740 661288    0    0    32    16  472 1025  2  1 97  1  0
 1  0      0 2295880  39740 661288    0    0     0    36  288  499  0  1 99  0  0
 2  0      0 2295880  39740 661300    0    0     0     0  278  477  0  0 100  0  0
 2  0      0 2290000  39740 666888    0    0  5568     0 1928  937  1 36 63  0  0
 1  0      0 2289552  39748 666888    0    0     0    60 2112  979  1 41 59  0  0
 2  0      0 2279416  39748 666912    0    0     0  1720 1808 1198  1 47 52  0  0
 3  0      0 2277848  39748 666924    0    0     0     0 2030 1073  1 37 63  0  0
 3  0      0 2264716  39748 666940    0    0     0     4 1655 1146  1 46 53  0  0
 2  0      0 2256856  39748 666956    0    0     0    68 1575 1063  1 54 46  0  0
 2  0      0 2279828  39756 666956    0    0     0   264 1743 1236  1 44 55  1  0
 5  0      0 2269172  39756 666980    0    0     0     0 1805 1192  1 46 53  0  0
 3  0      0 2262396  39756 667000    0    0     0    24 1908 1139  2 46 53  0  0
 1  0      0 2258756  39756 667008    0    0     0  7332 2128 1139  0 42 58  0  0
 2  0      0 2255660  39760 667024    0    0     0    76 1414 1177  2 61 38  0  0
 4  0      0 2257684  39760 667036    0    0     0     0 1062  938  2 69 30  0  0
 2  0      0 2256156  39772 667048    0    0     0    68 1212 1055  1 63 36  0  0
 4  0      0 2255316  39772 667056    0    0     0     0 1122 1019  1 63 36  0  0
 2  0      0 2253036  39772 667068    0    0     0     0 1230 1084  2 61 38  0  0
 3  0      0 2262744  39772 667084    0    0     0    64 1286 1098  2 66 33  0  0
 2  0      0 2260448  39772 667096    0    0     0     4 1090 1008  2 65 34  0  0
 4  0      0 2272856  39784 667112    0    0     0    80 1301 1081  1 70 29  0  0
 4  0      0 2260956  39784 667116    0    0     0     0 4348  659  2 54 44  0  0
 3  0      0 2260956  39784 667116    0    0     0     0 6555  584  1 52 48  0  0
