procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 2304520  33704 648256    0    0  6725   350 1239   13 16 20 63  2  0
 1  0      0 2304520  33704 648308    0    0     0     0  467 1256  2  1 97  0  0
 1  0      0 2304520  33704 648308    0    0     0  1228  178  331  0  0 100  0  0
 1  0      0 2304520  33704 648308    0    0     0     4  177  321  0  0 100  0  0
 3  0      0 2303624  33712 652708    0    0  4452    80  751  561  1 11 88  1  0
 2  0      0 2302056  33712 653908    0    0  1116     0 2028 1006  1 39 60  0  0
 2  0      0 2300264  33712 653920    0    0     0     0 2096 1091  1 44 55  0  0
 4  0      0 2297548  33712 653932    0    0     0     4 2094 1109  1 44 55  0  0
 2  0      0 2294832  33712 653944    0    0     0     4 2059  959  1 44 55  0  0
 2  0      0 2291696  33720 653956    0    0     0   152 1955  934  1 43 56  0  0
 3  0      0 2290772  33720 653968    0    0     0     0 1921  913  1 40 60  0  0
 1  0      0 2289652  33720 653984    0    0     0     0 2114  927  1 42 57  0  0
 2  0      0 2288980  33720 653992    0    0     0     0 2387  915  1 41 59  0  0
 2  0      0 2287384  33720 654004    0    0     0     0 2244 1016  1 41 58  0  0
 5  0      0 2277248  33728 654008    0    0     0    96 2032 1062  1 50 49  0  0
 2  0      0 2301696  33728 654032    0    0     0     0 1223 1019  1 63 36  0  0
 3  0      0 2303804  33728 654044    0    0     0     0 1075  984  1 68 31  0  0
 2  0      0 2297772  33728 654056    0    0     0     0 1039  911  2 68 31  0  0
 3  0      0 2294936  33728 654068    0    0     0     0 1080  948  1 67 32  0  0
 2  0      0 2283764  33736 654076    0    0     0    36  988  824  1 63 37  0  0
 5  0      0 2274160  33736 654088    0    0     0    64 1001  879  3 64 33  0  0
 4  0      0 2300672  33736 654096    0    0     0   112 1077  970  1 72 28  0  0
 5  0      0 2296192  33736 654100    0    0     0     0 5411  209  1 87 13  0  0
 6  0      0 2296192  33736 654100    0    0     0     0 8494  394  0 51 49  0  0
 2  0      0 2285664  33744 654092    0    0     0    32 8282  503  1 48 52  0  0
 2  0      0 2268964  33744 654120    0    0     0    28  846  859  1 45 54  0  0
 6  0      0 2299956  33744 654124    0    0     0     4 7371  547  0 53 47  0  0
 6  0      0 2299956  33744 654124    0    0     0     0 10593  413  0 51 49  0  0
 6  0      0 2299956  33744 654124    0    0     0     0 10253  410  0 51 49  0  0
 6  0      0 2299956  33744 654124    0    0     0     0 10248  415  0 51 49  0  0
 6  0      0 2299704  33752 654116    0    0     0    64 10501  458  1 51 49  0  0
 5  0      0 2299704  33752 654124    0    0     0     0 9804  430  0 51 49  0  0
 5  0      0 2299704  33752 654124    0    0     0     4 9877  431  0 51 49  0  0
 4  0      0 2299256  33752 654124    0    0     0     0 10046  250  1 74 25  0  0
 6  0      0 2299256  33752 654124    0    0     0     0 9907  462  1 51 49  0  0
 7  0      0 2299256  33760 654124    0    0     0    40 10390  434  0 51 49  0  0
 7  0      0 2299256  33760 654124    0    0     0     0 10416  426  0 51 49  0  0
 6  0      0 2298752  33760 654124    0    0     0     0 10379  459  1 51 49  0  0
 7  0      0 2298752  33760 654124    0    0     0    20 10495  438  0 51 49  0  0
 9  0      0 2298752  33760 654124    0    0     0     0 10647  411  0 51 49  0  0
 9  0      0 2298752  33768 654116    0    0     0    96 10191  427  0 51 49  0  0
 8  0      0 2298752  33768 654116    0    0     0     0 10580  423  0 51 49  0  0
 9  0      0 2298752  33768 654116    0    0     0     0 9973  420  1 50 49  0  0
 2  0      0 2288868  33768 654148    0    0     0     0 3915  588  1 25 74  0  0
 1  0      0 2287668  33768 654164    0    0     0     4 1359 1078  2 53 45  0  0
 3  0      0 2292696  33776 654176    0    0     0    20 1276 1212  2 65 34  0  0
 4  0      0 2269824  33776 654188    0    0     0     0 7210  612  0 56 44  0  0
 4  0      0 2269824  33776 654188    0    0     0     0 9755  412  1 51 49  0  0
 4  0      0 2269824  33776 654192    0    0     0    44 10633  426  0 51 49  0  0
 3  0      0 2269824  33776 654192    0    0     0     0 10074  404  0 51 49  0  0
 5  0      0 2269824  33784 654192    0    0     0    44 10450  434  0 51 49  0  0
 5  0      0 2269824  33784 654192    0    0     0     0 10691  348  0 61 39  0  0
 5  0      0 2269824  33784 654192    0    0     0     0 10565  405  1 50 49  0  0
17  0      0 2269824  33784 654192    0    0     0     0 16050  189  0 84 16  0  0
12  0      0 2269824  33784 654192    0    0     0    24 9745  398  0 51 49  0  0
 9  0      0 2289272  33792 654204    0    0     0    20 4328 1018  1 61 38  0  0
 4  0      0 2287704  33792 654204    0    0     0     0 10678  406  0 52 48  0  0
 4  0      0 2288452  33792 654204    0    0     0     0 10369  404  1 51 49  0  0
 5  0      0 2287564  33792 654204    0    0     0     0 10224  421  0 51 49  0  0
 4  0      0 2287564  33792 654204    0    0     0     0 10082  417  1 51 49  0  0
 4  0      0 2287564  33800 654196    0    0     0    88 10706  426  0 51 49  0  0
 5  0      0 2287564  33800 654196    0    0     0     4 10825  416  0 51 49  0  0
 6  0      0 2287564  33800 654196    0    0     0     0 9962  412  0 51 49  0  0
 6  0      0 2287564  33800 654196    0    0     0     0 9895  413  1 51 49  0  0
 6  0      0 2287564  33800 654196    0    0     0   276 10168  487  1 51 49  0  0
 5  0      0 2287564  33800 654212    0    0     0     0 9769  427  0 51 49  0  0
 8  0      0 2287564  33808 654212    0    0     0    16 10055  438  0 51 49  0  0
 2  0      0 2290900  33808 654220    0    0     0     4 1301  873  1 42 57  0  0
