Tempo privilegiato,Tempo processore,Tempo utente,Altre operazioni IO,Altri byte IO,Byte dati IO,Byte del file di paging,Byte del pool di paging,Byte del pool non-paging,Byte letti IO,Byte massimi file di paging,Byte privati,Byte scritti IO,Byte virtuali,Conteggio degli handle,Conteggio thread,Creazione ID processo,Errori di pagina,ID processo,Massimo valore byte virtuali,Max working set,Operazioni dati IO,Operazioni lettura IO,Operazioni scrittura IO,Priorità base,Tempo trascorso,Working set,Working set - Privato,Principale1,Principale2,Principale3,Principale4,Principale5,Principale6,Principale7,Principale8,Principale9
"2,6017831731","336,6707426","334,06895943",0,0,0,4762185728,341504,19080,0,4762353664,4762185728,0,9280684032,291,19,16052,0,22912,9294405632,4718497792,0,0,0,8,"231,0018919",4718301184,4713660416,"64,272119754","-26,77752028","-194,8357811","34,24533577","63,683406678","54,972147118","-33,34049391","-73,81584497","-8,493240881"
"0,5232623696","259,53813531","259,01487294",0,0,0,4762185728,341504,19080,0,4762353664,4762185728,0,9280684032,291,19,16052,0,22912,9294405632,4718497792,0,0,0,8,"233,9879656",4718301184,4713660416,"66,368684032","-26,6946026","-200,7738709","40,072302956","63,789759362","55,389552262","-34,93615368","-82,03938185","-7,957463203"
0,"290,45283892","290,45283892",0,0,0,4762185728,341504,19080,0,4762353664,4762185728,0,9280684032,291,19,16052,0,22912,9294405632,4718497792,0,0,0,8,"236,9897438",4718301184,4713660416,"65,386391033","-26,75913051","-197,71188","36,84720251","63,805671562","55,063177466","-34,62078475","-80,6231088","-8,08922482"
"6,2441338444","301,79980248","295,55566863",0,0,0,4762185728,341504,19080,0,4762353664,4762185728,0,9280684032,291,19,16052,0,22912,9294405632,4718497792,0,0,0,8,"239,9925622",4718301184,4713660416,"65,69964353","-26,63130058","-199,8247117","39,884846042","63,533218076","55,697162016","-32,96665832","-71,18346119","-8,531712759"
"1,0407518805","298,17541375","297,13466187",0,0,0,4762185728,341504,19080,0,4762353664,4762185728,0,9280684032,291,19,16052,0,22912,9294405632,4718497792,0,0,0,8,"242,9951991",4718301184,4713660416,"65,263651242","-26,74699464","-197,5361919","36,809842448","63,758878324","55,118597467","-34,26198236","-78,64580236","-8,193958641"
"0,5201996608","260,09983039","259,57963073",0,0,0,4762185728,341504,19080,0,4762353664,4762185728,0,9280684032,291,19,16052,0,22912,9294405632,4718497792,0,0,0,8,"245,9988535",4718301184,4713660416,"66,351513575","-26,69397319","-200,7216866","40,017775118","63,789489027","55,383775024","-34,92883449","-82,00470821","-7,960455786"
"5,2067199444","295,22102085","290,0143009",0,0,0,4762185728,341504,19080,0,4762353664,4762185728,0,9280684032,291,19,16052,0,22912,9294405632,4718497792,0,0,0,8,"248,9997831",4718301184,4713660416,"65,788419212","-26,64323354","-199,8987857","39,817573881","63,579268751","55,631574839","-33,30830653","-73,07689918","-8,433497933"
"4,6909731966","323,15593132","318,46495812",0,0,0,4762185728,341504,19080,0,4762353664,4762185728,0,9280684032,291,19,16052,0,22912,9294405632,4718497792,0,0,0,8,"251,9975619",4718301184,4713660416,"64,896313844","-26,70251101","-197,1103536","36,875178381","63,595496043","55,331616871","-33,03359281","-71,85661966","-8,549936185"
"2,0827058835","399,87952963","397,79682374",0,0,0,4762185728,341504,19080,0,4762353664,4762185728,0,9280684032,291,19,16052,0,22912,9294405632,4718497792,0,0,0,8,"254,9984657",4718301184,4713660416,"62,321370194","-26,8940463","-188,8524757","28,012258522","63,691709636","54,368450425","-32,56396186","-70,15675411","-8,796673492"
"1,5607196871","343,87857105","342,31785136",0,0,0,4762185728,341504,19080,0,4762353664,4762185728,0,9280684032,291,19,16052,0,22912,9294405632,4718497792,0,0,0,8,"258,0018878",4718301184,4713660416,"63,946886016","-26,81053298","-193,6601457","32,890249221","63,726231824","54,787077444","-33,48653026","-74,75933223","-8,468135002"
