procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 2302116  39700 654312    0    0  6259   325 1128   12 16 26 54  3  0
 1  0      0 2302116  39708 654448    0    0    64   104  637 1316  1  1 98  0  0
 1  0      0 2302116  39708 654452    0    0     0     4  259  405  0  0 100  0  0
 1  0      0 2302116  39708 654460    0    0     0     0  231  394  1  0 99  0  0
 1  0      0 2295032  39708 660052    0    0  5568     0 1173  671  0 18 81  1  0
 2  0      0 2295032  39708 660064    0    0     0     0 2186  894  1 38 61  0  0
 1  0      0 2293884  39716 660072    0    0     0   804 2177  990  1 33 66  0  0
 2  0      0 2293632  39716 660092    0    0     0     0 2405  985  1 37 63  0  0
 1  0      0 2292512  39716 660108    0    0     0     4 2388 1067  0 35 65  0  0
 2  0      0 2292512  39716 660120    0    0     0    76 2308  987  1 36 64  0  0
 2  0      0 2291840  39716 660120    0    0     0     0 2302  952  2 37 61  0  0
 2  0      0 2291840  39724 660124    0    0     0    24 2272  964  0 33 67  0  0
 2  0      0 2291364  39724 660144    0    0     0     0 2225  974  1 38 61  0  0
 2  0      0 2291364  39724 660160    0    0     0     0 2284  904  1 37 63  0  0
 3  0      0 2281956  39724 660172    0    0     0    72 1901 1106  2 51 47  1  0
 4  0      0 2286348  39724 660192    0    0     0     0 1784 1158  1 56 42  0  0
 6  0      0 2280872  39724 660208    0    0     0     0 1486 1180  1 60 39  0  0
 1  0      0 2276120  39732 660232    0    0     0    24 1498 1254  1 56 43  0  0
 3  0      0 2271104  39732 660252    0    0     0     0 1709 1283  2 47 52  0  0
 3  0      0 2268756  39732 660272    0    0     0   100 1541 1288  2 54 44  0  0
 2  0      0 2259628  39732 660292    0    0     0     4 1640 1277  2 57 41  0  0
 5  0      0 2281416  39740 660304    0    0     0    40 1592 1213  1 56 44  0  0
 2  0      0 2274012  39740 660328    0    0     0   108 1499 1230  1 64 35  0  0
 4  0      0 2259644  39740 660344    0    0     0     0 1291 1114  2 62 37  0  0
 2  0      0 2286176  39740 660364    0    0     0    96 1252 1114  2 69 29  0  0
 2  0      0 2269376  39740 660376    0    0     0     0 1072  978  1 66 32  0  0
 4  0      0 2260132  39748 660388    0    0     0    32 1051 1004  2 66 32  0  0
 2  0      0 2266132  39748 660408    0    0     0     0  952  977  1 66 34  0  0
 5  0      0 2269572  39748 660424    0    0     0     0 1059 1026  1 64 35  0  0
 4  0      0 2258284  39748 660440    0    0     0     0 1694  960  1 64 35  0  0
 5  0      0 2258284  39748 660440    0    0     0    76 7124  547  0 52 48  0  0
 6  0      0 2258284  39748 660440    0    0     0     0 9036  526  0 51 49  0  0
 7  0      0 2258284  39756 660440    0    0     0   108 11054  547  1 51 49  0  0
 6  0      0 2258284  39756 660440    0    0     0     0 11855  535  1 51 49  0  0
 1  0      0 2277760  39756 660444    0    0     0     0 9784  783  1 51 48  0  0
 4  0      0 2280232  39756 660464    0    0     0     0 1256 1186  2 64 35  0  0
 3  0      0 2276360  39756 660480    0    0     0     0 2983  997  2 62 36  0  0
 5  0      0 2276360  39764 660484    0    0     0    28 11046  504  0 51 49  0  0
 4  0      0 2270760  39764 660484    0    0     0     4 11515  531  1 51 49  0  0
 3  0      0 2275472  39764 660492    0    0     0    48 5514  914  1 54 45  0  0
 4  0      0 2275472  39764 660496    0    0     0     0 11581  488  1 50 49  0  0
 4  0      0 2275472  39764 660496    0    0     0     0 12316  531  1 51 48  0  0
 5  0      0 2275472  39772 660496    0    0     0    40 12330  508  0 51 49  0  0
 5  0      0 2275472  39772 660496    0    0     0     0 11775  517  0 51 49  0  0
 5  0      0 2275472  39772 660496    0    0     0    16 12954  483  1 52 48  0  0
 6  0      0 2275472  39772 660496    0    0     0     0 13298  488  0 51 49  0  0
 7  0      0 2275472  39772 660496    0    0     0     0 12668  496  0 51 49  0  0
